ticker,RJF UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.6856
2000-01-04,-3.5461
2000-01-05,-1.1029
2000-01-06,0.0
2000-01-07,1.1152
2000-01-10,0.7353
2000-01-11,1.0949
2000-01-12,1.083
2000-01-13,6.0714
2000-01-14,-5.7239
2000-01-18,3.5714
2000-01-19,-3.1034
2000-01-20,-1.0676
2000-01-21,-1.0791
2000-01-24,2.5455
2000-01-25,1.7730000000000001
2000-01-26,1.7422
2000-01-27,7.1918
2000-01-28,-4.1534
2000-01-31,1.3333
2000-02-01,-1.9737
2000-02-02,1.0067
2000-02-03,1.9933999999999998
2000-02-04,3.5831
2000-02-07,-0.9434
2000-02-08,-2.2222
2000-02-09,-2.5974
2000-02-10,0.6667
2000-02-11,-2.3179
2000-02-14,-0.339
2000-02-15,2.7211
2000-02-16,-1.6556
2000-02-17,-0.3367
2000-02-18,-2.7027
2000-02-22,0.3472
2000-02-23,1.7301
2000-02-24,0.6803
2000-02-25,-2.7027
2000-02-28,5.2083
2000-02-29,4.2904
2000-03-01,1.5823
2000-03-02,0.6231
2000-03-03,1.8576000000000001
2000-03-06,0.9119
2000-03-07,-6.9277
2000-03-08,-1.9417
2000-03-09,1.3201
2000-03-10,-0.9772
2000-03-13,-0.6579
2000-03-14,-0.3311
2000-03-15,0.0
2000-03-16,6.6445
2000-03-17,-0.5607
2000-03-20,1.5723
2000-03-21,-0.9288
2000-03-22,0.0
2000-03-23,-0.3125
2000-03-24,9.0909
2000-03-27,-5.1724
2000-03-28,-2.4242
2000-03-29,0.3106
2000-03-30,-1.2384
2000-03-31,4.0752
2000-04-03,-1.506
2000-04-04,-6.1162
2000-04-05,1.3029
2000-04-06,2.2508
2000-04-07,-3.4591
2000-04-10,0.9772
2000-04-11,-1.9355
2000-04-12,-0.3289
2000-04-13,-1.6502
2000-04-14,-9.0604
2000-04-17,1.107
2000-04-18,4.3796
2000-04-19,0.3497
2000-04-20,-0.6969
2000-04-24,1.0526
2000-04-25,6.25
2000-04-26,1.9607999999999999
2000-04-27,0.3205
2000-04-28,2.8754
2000-05-01,-0.6211
2000-05-02,-3.125
2000-05-03,-3.2258
2000-05-04,1.3333
2000-05-05,1.3158
2000-05-08,0.0
2000-05-09,5.1948
2000-05-10,-6.4815
2000-05-11,4.2904
2000-05-12,0.9494
2000-05-15,3.1348
2000-05-16,1.2158
2000-05-17,-1.5015
2000-05-18,-1.2195
2000-05-19,-1.5432000000000001
2000-05-22,-0.627
