date,CF UN Equity
2005-08-15,-3.5137
2005-08-16,-0.8671
2005-08-17,-1.7492999999999999
2005-08-18,-2.9674
2005-08-19,1.5291000000000001
2005-08-20,
2005-08-21,
2005-08-22,2.4096
2005-08-23,3.2941
2005-08-24,-0.3417
2005-08-25,-0.2286
2005-08-26,0.0573
2005-08-27,
2005-08-28,
2005-08-29,-2.6903
2005-08-30,0.1765
2005-08-31,-1.4093
2005-09-01,-3.2162
2005-09-02,-1.1077
2005-09-03,
2005-09-04,
2005-09-05,
2005-09-06,2.0535
2005-09-07,-1.2805
2005-09-08,0.803
2005-09-09,1.5319
2005-09-10,
2005-09-11,
2005-09-12,-2.8968
2005-09-13,-1.3052000000000001
2005-09-14,-1.0076
2005-09-15,-3.944
2005-09-16,1.457
2005-09-17,
2005-09-18,
2005-09-19,1.1749
2005-09-20,1.9355
2005-09-21,-5.0633
2005-09-22,-3.2667
2005-09-23,7.4431
2005-09-24,
2005-09-25,
2005-09-26,-0.5773
2005-09-27,-0.2581
2005-09-28,-2.0052
2005-09-29,-0.9901
2005-09-30,-1.2667
2005-10-01,
2005-10-02,
2005-10-03,-2.0932
2005-10-04,-2.9655
2005-10-05,-6.5387
2005-10-06,1.9771999999999998
2005-10-07,0.6711
2005-10-08,
2005-10-09,
2005-10-10,-7.037
2005-10-11,-3.1873
2005-10-12,-1.7284000000000002
2005-10-13,-5.3601
2005-10-14,9.3805
2005-10-15,
2005-10-16,
2005-10-17,-1.2945
2005-10-18,-1.6393
2005-10-19,1.3333
2005-10-20,5.4276
2005-10-21,1.092
2005-10-22,
2005-10-23,
2005-10-24,1.3117
2005-10-25,0.5331
2005-10-26,-0.8333
2005-10-27,-0.6875
2005-10-28,2.6923
2005-10-29,
2005-10-30,
2005-10-31,3.5206
2005-11-01,-1.5918999999999999
2005-11-02,-0.4412
2005-11-03,-1.7725
2005-11-04,0.7519
2005-11-05,
2005-11-06,
2005-11-07,0.9701
2005-11-08,-0.0739
2005-11-09,0.2219
2005-11-10,1.626
2005-11-11,2.1091
2005-11-12,
2005-11-13,
2005-11-14,0.2137
2005-11-15,4.9041
2005-11-16,2.7778
2005-11-17,4.1529
2005-11-18,-1.2025000000000001
2005-11-19,
2005-11-20,
2005-11-21,1.3453
2005-11-22,-0.5689
2005-11-23,-1.4622
2005-11-24,
2005-11-25,0.7742
2005-11-26,
2005-11-27,
2005-11-28,-0.8323
2005-11-29,0.0646
2005-11-30,-0.3226
2005-12-01,-1.165
2005-12-02,1.7027
2005-12-03,
2005-12-04,
2005-12-05,0.7083
2005-12-06,1.1509
2005-12-07,-1.2642
2005-12-08,-3.201
2005-12-09,0.3307
2005-12-10,
2005-12-11,
2005-12-12,-0.3955
2005-12-13,-1.456
2005-12-14,-0.6044
2005-12-15,1.1486
2005-12-16,0.8684
2005-12-17,
2005-12-18,
2005-12-19,0.9934
2005-12-20,-1.8361
2005-12-21,-1.4028
2005-12-22,3.9295
2005-12-23,-0.7171
2005-12-24,
2005-12-25,
2005-12-26,
2005-12-27,0.4596
2005-12-28,-0.3268
2005-12-29,0.5246
2005-12-30,-0.5219
2005-12-31,
2006-01-01,
2006-01-02,
2006-01-03,0.3279
2006-01-04,1.6993
2006-01-05,3.7918
2006-01-06,-0.805
2006-01-07,
2006-01-08,
2006-01-09,2.372
2006-01-10,0.3049
2006-01-11,-0.9726
2006-01-12,0.0614
2006-01-13,0.4294
2006-01-14,
2006-01-15,
2006-01-16,
2006-01-17,-0.5498
2006-01-18,1.8428
2006-01-19,-0.3016
2006-01-20,-3.5088
2006-01-21,
2006-01-22,
2006-01-23,1.7555
2006-01-24,1.6019999999999999
2006-01-25,-1.1522000000000001
2006-01-26,2.8221
2006-01-27,1.5513
2006-01-28,
2006-01-29,
2006-01-30,-0.7051
2006-01-31,0.6509
2006-02-01,-1.3521
2006-02-02,-1.6686999999999999
2006-02-03,2.303
2006-02-04,
2006-02-05,
2006-02-06,1.1848
2006-02-07,-0.8197
2006-02-08,1.771
2006-02-09,1.5081
2006-02-10,-0.8571
2006-02-11,
2006-02-12,
2006-02-13,-1.7867
2006-02-14,1.9952999999999999
2006-02-15,0.5754
2006-02-16,-0.7437
2006-02-17,-0.1729
2006-02-18,
2006-02-19,
2006-02-20,
2006-02-21,-1.5011999999999999
2006-02-22,3.8101000000000003
2006-02-23,0.6776
2006-02-24,3.4773
2006-02-25,
2006-02-26,
2006-02-27,-2.6016
2006-02-28,-1.9477
2006-03-01,0.7946
2006-03-02,-1.9144
2006-03-03,-0.5747
2006-03-04,
2006-03-05,
2006-03-06,-1.7919
2006-03-07,-0.1766
2006-03-08,-0.4717
2006-03-09,-1.1256
2006-03-10,1.0186
2006-03-11,
2006-03-12,
2006-03-13,-0.3559
2006-03-14,0.2976
2006-03-15,-0.9496
2006-03-16,-0.5392
2006-03-17,1.506
2006-03-18,
2006-03-19,
2006-03-20,-0.8902
2006-03-21,-2.515
2006-03-22,3.317
2006-03-23,0.2973
2006-03-24,0.7706
2006-03-25,
2006-03-26,
2006-03-27,-0.8235
2006-03-28,-1.7793999999999999
2006-03-29,0.8454
2006-03-30,1.5569
2006-03-31,0.1769
2006-04-01,
2006-04-02,
2006-04-03,0.4709
2006-04-04,-1.5231
2006-04-05,0.4759
2006-04-06,0.5921
2006-04-07,-0.9417
2006-04-08,
2006-04-09,
2006-04-10,-1.9014
2006-04-11,-2.2411
2006-04-12,2.5403000000000002
2006-04-13,0.2417
2006-04-14,
2006-04-15,
2006-04-16,
2006-04-17,-1.0247
2006-04-18,3.4714
2006-04-19,2.1778
2006-04-20,3.1106
2006-04-21,-0.7821
2006-04-22,
2006-04-23,
2006-04-24,-1.9707
2006-04-25,2.2401
2006-04-26,-0.5618
2006-04-27,-0.113
