date,LO UN Equity
2008-06-12,-2.6691000000000003
2008-06-13,-3.1416
2008-06-14,
2008-06-15,
2008-06-16,-2.7625
2008-06-17,1.1731
2008-06-18,0.2375
2008-06-19,-0.5854
2008-06-20,-0.5888
2008-06-21,
2008-06-22,
2008-06-23,-1.0436
2008-06-24,-1.9096
2008-06-25,4.0099
2008-06-26,-3.7435
2008-06-27,-1.3496000000000001
2008-06-28,
2008-06-29,
2008-06-30,1.7358
2008-07-01,-1.6773
2008-07-02,0.3676
2008-07-03,-1.4505
2008-07-04,
2008-07-05,
2008-07-06,
2008-07-07,1.457
2008-07-08,0.6887
2008-07-09,-1.892
2008-07-10,4.6136
2008-07-11,-0.0284
2008-07-12,
2008-07-13,
2008-07-14,0.6099
2008-07-15,-1.7482
2008-07-16,-2.382
2008-07-17,1.4993
2008-07-18,-0.7965
2008-07-19,
2008-07-20,
2008-07-21,-1.1825
2008-07-22,2.4524
2008-07-23,0.3749
2008-07-24,-3.7638
2008-07-25,-1.4778
2008-07-26,
2008-07-27,
2008-07-28,4.1364
2008-07-29,1.8769
2008-07-30,-1.8566
2008-07-31,-2.3428
2008-08-01,0.4917
2008-08-02,
2008-08-03,
2008-08-04,0.1928
2008-08-05,3.4927
2008-08-06,-1.9734
2008-08-07,-1.8089
2008-08-08,1.6341999999999999
2008-08-09,
2008-08-10,
2008-08-11,2.6166
2008-08-12,-1.2821
2008-08-13,0.8369
2008-08-14,0.1288
2008-08-15,3.5873
2008-08-16,
2008-08-17,
2008-08-18,0.069
2008-08-19,-0.6066
2008-08-20,-0.4161
2008-08-21,-0.0557
2008-08-22,0.5854
2008-08-23,
2008-08-24,
2008-08-25,-0.2356
2008-08-26,-0.125
2008-08-27,0.9317
2008-08-28,2.604
2008-08-29,-1.7811
2008-08-30,
2008-08-31,
2008-09-01,
2008-09-02,1.6888
2008-09-03,-2.8994999999999997
2008-09-04,-2.3412
2008-09-05,6.3595
2008-09-06,
2008-09-07,
2008-09-08,2.1595
2008-09-09,-3.6729000000000003
