date,BXLT UN Equity
2015-06-17,-2.7019
2015-06-18,1.2793
2015-06-19,-1.756
2015-06-20,
2015-06-21,
2015-06-22,0.1881
2015-06-23,0.939
2015-06-24,1.5504
2015-06-25,0.3969
2015-06-26,0.8212
2015-06-27,
2015-06-28,
2015-06-29,-0.181
2015-06-30,-3.4754
2015-07-01,-1.3776
2015-07-02,-1.4921
2015-07-03,
2015-07-04,
2015-07-05,
2015-07-06,2.1914
2015-07-07,0.7253
2015-07-08,-2.4734
2015-07-09,-3.4992
2015-07-10,2.6281
2015-07-11,
2015-07-12,
2015-07-13,-2.0097
2015-07-14,0.7939
2015-07-15,1.641
2015-07-16,1.5822
2015-07-17,3.9097
2015-07-18,
2015-07-19,
2015-07-20,-0.9483
2015-07-21,-0.525
2015-07-22,-1.1487
2015-07-23,-1.7274
2015-07-24,-1.2784
2015-07-25,
2015-07-26,
2015-07-27,-0.9388
2015-07-28,-0.5229
2015-07-29,1.5769
2015-07-30,3.2018
2015-07-31,2.8830999999999998
2015-08-01,
2015-08-02,
2015-08-03,0.9747
2015-08-04,11.9155
2015-08-05,0.5391
2015-08-06,0.2413
2015-08-07,0.5616
2015-08-08,
2015-08-09,
2015-08-10,5.8245000000000005
2015-08-11,-2.6891
2015-08-12,-1.5754000000000001
2015-08-13,0.3674
2015-08-14,3.1111
2015-08-15,
2015-08-16,
2015-08-17,2.3073
2015-08-18,-1.0657
2015-08-19,0.9269
2015-08-20,-1.5388
2015-08-21,-8.0918
2015-08-22,
2015-08-23,
2015-08-24,-5.8146
2015-08-25,1.1357
2015-08-26,2.0731
2015-08-27,2.7645
2015-08-28,-3.2391
2015-08-29,
2015-08-30,
2015-08-31,-0.2837
2015-09-01,-1.3371
2015-09-02,1.2111
2015-09-03,3.1687
2015-09-04,-0.166
2015-09-05,
2015-09-06,
2015-09-07,
2015-09-08,-2.3836
2015-09-09,-2.8393
2015-09-10,2.3086
2015-09-11,2.2851
2015-09-12,
2015-09-13,
2015-09-14,4.3004999999999995
2015-09-15,-0.7764
2015-09-16,0.027
2015-09-17,-0.5665
2015-09-18,0.1085
2015-09-19,
2015-09-20,
2015-09-21,-2.2493
2015-09-22,-2.412
2015-09-23,-1.733
2015-09-24,-1.3877
2015-09-25,-3.3714
2015-09-26,
2015-09-27,
2015-09-28,-5.4612
2015-09-29,-0.2888
2015-09-30,1.4162
2015-10-01,1.8407
2015-10-02,1.0907
2015-10-03,
2015-10-04,
2015-10-05,-0.2466
2015-10-06,-3.3993
2015-10-07,-1.0237
2015-10-08,0.4848
2015-10-09,-0.193
2015-10-10,
2015-10-11,
2015-10-12,0.5156
2015-10-13,-1.3466
2015-10-14,0.845
2015-10-15,7.5411
2015-10-16,-1.2286
2015-10-17,
2015-10-18,
2015-10-19,0.3034
2015-10-20,-2.9341
2015-10-21,-1.1218
2015-10-22,-1.1661
2015-10-23,6.537
2015-10-24,
2015-10-25,
2015-10-26,1.287
2015-10-27,2.9551
2015-10-28,3.2434
2015-10-29,-4.2257
2015-10-30,0.029
2015-10-31,
2015-11-01,
2015-11-02,1.1027
2015-11-03,-2.899
2015-11-04,2.0396
2015-11-05,-0.7242
2015-11-06,2.4511
2015-11-07,
2015-11-08,
2015-11-09,-2.1646
2015-11-10,-1.9796
2015-11-11,0.0594
2015-11-12,-1.306
2015-11-13,1.6240999999999999
2015-11-14,
2015-11-15,
2015-11-16,2.042
2015-11-17,0.174
2015-11-18,-0.2895
2015-11-19,0.1161
2015-11-20,-0.435
2015-11-21,
2015-11-22,
2015-11-23,-2.3303
2015-11-24,6.3823
2015-11-25,0.3084
2015-11-26,
2015-11-27,-0.3633
2015-11-28,
2015-11-29,
2015-11-30,-3.5624000000000002
2015-12-01,0.7272
2015-12-02,3.0898
2015-12-03,-1.8243
2015-12-04,2.43
2015-12-05,
2015-12-06,
2015-12-07,-0.2791
2015-12-08,3.4425
2015-12-09,0.6764
2015-12-10,1.2631000000000001
2015-12-11,-1.6985000000000001
2015-12-12,
2015-12-13,
2015-12-14,3.0238
2015-12-15,-2.7778
2015-12-16,1.3477000000000001
