date,Foreclosure
2004-01-04,87.0
2004-01-11,88.0
2004-01-18,82.0
2004-01-25,92.0
2004-02-01,64.0
2004-02-08,68.0
2004-02-15,79.0
2004-02-22,70.0
2004-02-29,72.0
2004-03-07,80.0
2004-03-14,82.0
2004-03-21,90.0
2004-03-28,99.0
2004-04-04,100.0
2004-04-11,93.0
2004-04-18,84.0
2004-04-25,88.0
2004-05-02,90.0
2004-05-09,90.0
2004-05-16,85.0
2004-05-23,81.0
2004-05-30,81.0
2004-06-06,87.0
2004-06-13,86.0
2004-06-20,83.0
2004-06-27,86.0
2004-07-04,96.0
2004-07-11,89.0
2004-07-18,89.0
2004-07-25,94.0
2004-08-01,87.0
2004-08-08,83.0
2004-08-15,89.0
2004-08-22,76.0
2004-08-29,72.0
2004-09-05,78.0
2004-09-12,70.0
2004-09-19,55.0
2004-09-26,70.0
2004-10-03,73.0
2004-10-10,74.0
2004-10-17,67.0
2004-10-24,54.0
2004-10-31,62.0
2004-11-07,75.0
2004-11-14,61.0
2004-11-21,75.0
2004-11-28,65.0
2004-12-05,56.0
2004-12-12,64.0
2004-12-19,59.0
2004-12-26,95.0
2005-01-02,88.0
2005-01-09,86.0
2005-01-16,88.0
2005-01-23,86.0
2005-01-30,82.0
2005-02-06,85.0
2005-02-13,75.0
2005-02-20,91.0
2005-02-27,80.0
2005-03-06,79.0
2005-03-13,88.0
2005-03-20,74.0
2005-03-27,100.0
2005-04-03,90.0
2005-04-10,72.0
2005-04-17,75.0
2005-04-24,81.0
2005-05-01,79.0
2005-05-08,88.0
2005-05-15,84.0
2005-05-22,84.0
2005-05-29,87.0
2005-06-05,87.0
2005-06-12,93.0
2005-06-19,89.0
2005-06-26,89.0
2005-07-03,83.0
2005-07-10,93.0
2005-07-17,95.0
2005-07-24,91.0
2005-07-31,87.0
2005-08-07,89.0
2005-08-14,85.0
2005-08-21,82.0
2005-08-28,60.0
2005-09-04,63.0
2005-09-11,69.0
2005-09-18,69.0
2005-09-25,66.0
2005-10-02,71.0
2005-10-09,68.0
2005-10-16,62.0
2005-10-23,59.0
2005-10-30,67.0
2005-11-06,60.0
2005-11-13,58.0
2005-11-20,52.0
2005-11-27,61.0
2005-12-04,50.0
2005-12-11,46.0
2005-12-18,47.0
2005-12-25,73.0
2006-01-01,76.0
2006-01-08,81.0
2006-01-15,84.0
2006-01-22,85.0
2006-01-29,89.0
2006-02-05,71.0
2006-02-12,77.0
2006-02-19,70.0
2006-02-26,76.0
2006-03-05,79.0
2006-03-12,79.0
2006-03-19,83.0
2006-03-26,79.0
2006-04-02,70.0
2006-04-09,77.0
2006-04-16,70.0
2006-04-23,77.0
2006-04-30,80.0
2006-05-07,77.0
2006-05-14,81.0
2006-05-21,74.0
2006-05-28,85.0
2006-06-04,83.0
2006-06-11,75.0
2006-06-18,91.0
2006-06-25,83.0
2006-07-02,94.0
2006-07-09,96.0
2006-07-16,92.0
2006-07-23,96.0
2006-07-30,94.0
2006-08-06,100.0
2006-08-13,93.0
2006-08-20,85.0
2006-08-27,89.0
2006-09-03,87.0
2006-09-10,88.0
2006-09-17,85.0
2006-09-24,84.0
2006-10-01,73.0
2006-10-08,72.0
2006-10-15,75.0
2006-10-22,81.0
2006-10-29,77.0
2006-11-05,73.0
2006-11-12,80.0
2006-11-19,74.0
2006-11-26,73.0
2006-12-03,68.0
2006-12-10,71.0
