date,Footwear
2004-01-04,68.0
2004-01-11,66.0
2004-01-18,51.0
2004-01-25,65.0
2004-02-01,72.0
2004-02-08,59.0
2004-02-15,81.0
2004-02-22,73.0
2004-02-29,97.0
2004-03-07,75.0
2004-03-14,86.0
2004-03-21,99.0
2004-03-28,74.0
2004-04-04,64.0
2004-04-11,77.0
2004-04-18,79.0
2004-04-25,68.0
2004-05-02,72.0
2004-05-09,83.0
2004-05-16,76.0
2004-05-23,74.0
2004-05-30,67.0
2004-06-06,61.0
2004-06-13,69.0
2004-06-20,73.0
2004-06-27,65.0
2004-07-04,63.0
2004-07-11,86.0
2004-07-18,79.0
2004-07-25,85.0
2004-08-01,83.0
2004-08-08,89.0
2004-08-15,80.0
2004-08-22,100.0
2004-08-29,72.0
2004-09-05,70.0
2004-09-12,67.0
2004-09-19,75.0
2004-09-26,92.0
2004-10-03,75.0
2004-10-10,66.0
2004-10-17,73.0
2004-10-24,71.0
2004-10-31,60.0
2004-11-07,83.0
2004-11-14,79.0
2004-11-21,78.0
2004-11-28,88.0
2004-12-05,73.0
2004-12-12,82.0
2004-12-19,75.0
2004-12-26,92.5
2005-01-02,72.0
2005-01-09,59.0
2005-01-16,74.0
2005-01-23,72.0
2005-01-30,73.0
2005-02-06,77.0
2005-02-13,81.0
2005-02-20,73.0
2005-02-27,86.0
2005-03-06,75.0
2005-03-13,87.0
2005-03-20,100.0
2005-03-27,79.0
2005-04-03,83.0
2005-04-10,75.0
2005-04-17,77.0
2005-04-24,64.0
2005-05-01,87.0
2005-05-08,69.0
2005-05-15,78.0
2005-05-22,76.0
2005-05-29,88.0
2005-06-05,82.0
2005-06-12,67.0
2005-06-19,83.0
2005-06-26,83.0
2005-07-03,75.0
2005-07-10,85.0
2005-07-17,83.0
2005-07-24,99.0
2005-07-31,86.0
2005-08-07,97.0
2005-08-14,86.0
2005-08-21,96.0
2005-08-28,83.0
2005-09-04,67.0
2005-09-11,84.0
2005-09-18,70.0
2005-09-25,75.0
2005-10-02,79.0
2005-10-09,78.0
2005-10-16,77.0
2005-10-23,76.0
2005-10-30,75.0
2005-11-06,79.0
2005-11-13,86.0
2005-11-20,96.0
2005-11-27,86.0
2005-12-04,93.0
2005-12-11,83.0
2005-12-18,73.0
2005-12-25,78.0
2006-01-01,71.0
2006-01-08,59.0
2006-01-15,54.0
2006-01-22,52.0
2006-01-29,64.0
2006-02-05,59.0
2006-02-12,55.0
2006-02-19,77.0
2006-02-26,62.0
2006-03-05,69.0
2006-03-12,73.0
2006-03-19,72.0
2006-03-26,76.0
2006-04-02,82.0
2006-04-09,84.0
2006-04-16,76.0
2006-04-23,78.0
2006-04-30,72.0
2006-05-07,74.0
2006-05-14,64.0
2006-05-21,64.0
2006-05-28,85.0
2006-06-04,69.0
2006-06-11,57.0
2006-06-18,61.0
2006-06-25,68.0
2006-07-02,62.0
2006-07-09,70.0
2006-07-16,70.0
2006-07-23,82.0
2006-07-30,87.0
2006-08-06,100.0
2006-08-13,85.0
2006-08-20,85.0
2006-08-27,78.0
2006-09-03,70.0
2006-09-10,71.0
2006-09-17,79.0
2006-09-24,75.0
2006-10-01,68.0
2006-10-08,72.0
2006-10-15,65.0
2006-10-22,68.0
2006-10-29,68.0
2006-11-05,72.0
2006-11-12,71.0
2006-11-19,78.0
2006-11-26,81.0
2006-12-03,81.0
2006-12-10,73.0
2006-12-17,77.0
2006-12-24,70.0
2006-12-31,62.0
2007-01-07,65.0
2007-01-14,61.0
2007-01-21,63.0
2007-01-28,60.0
2007-02-04,66.0
2007-02-11,60.0
2007-02-18,71.0
2007-02-25,63.0
2007-03-04,73.0
2007-03-11,67.0
2007-03-18,75.0
2007-03-25,87.0
2007-04-01,88.0
2007-04-08,75.0
2007-04-15,85.0
2007-04-22,84.0
2007-04-29,80.0
2007-05-06,73.0
2007-05-13,77.0
2007-05-20,76.0
2007-05-27,70.0
2007-06-03,70.0
2007-06-10,67.0
2007-06-17,70.0
2007-06-24,62.0
2007-07-01,61.0
2007-07-08,87.0
2007-07-15,79.0
2007-07-22,85.0
2007-07-29,85.0
2007-08-05,87.0
2007-08-12,94.0
2007-08-19,95.0
2007-08-26,83.0
2007-09-02,78.0
2007-09-09,71.0
2007-09-16,80.0
2007-09-23,69.0
2007-09-30,70.0
2007-10-07,69.0
2007-10-14,68.0
2007-10-21,65.0
2007-10-28,70.0
2007-11-04,80.0
2007-11-11,75.0
2007-11-18,84.0
2007-11-25,86.0
2007-12-02,100.0
2007-12-09,93.0
2007-12-16,81.0
2007-12-23,82.0
2007-12-30,80.0
2008-01-06,61.0
2008-01-13,63.0
2008-01-20,61.0
2008-01-27,61.0
2008-02-03,63.0
2008-02-10,65.0
2008-02-17,65.0
2008-02-24,69.0
2008-03-02,71.0
2008-03-09,70.0
2008-03-16,69.0
2008-03-23,70.0
2008-03-30,67.0
2008-04-06,69.0
2008-04-13,75.0
2008-04-20,74.0
2008-04-27,64.0
2008-05-04,73.0
2008-05-11,65.0
2008-05-18,71.0
2008-05-25,70.0
2008-06-01,60.0
2008-06-08,65.0
2008-06-15,61.0
2008-06-22,58.0
2008-06-29,57.0
2008-07-06,64.0
2008-07-13,62.0
2008-07-20,71.0
2008-07-27,76.0
2008-08-03,84.0
2008-08-10,91.0
2008-08-17,82.0
2008-08-24,89.0
2008-08-31,79.0
2008-09-07,68.0
2008-09-14,67.0
2008-09-21,66.0
2008-09-28,70.0
2008-10-05,68.0
2008-10-12,69.0
2008-10-19,68.0
2008-10-26,66.0
2008-11-02,71.0
2008-11-09,74.0
2008-11-16,80.0
2008-11-23,100.0
2008-11-30,91.0
2008-12-07,86.0
