date,Pharmacy
2004-01-04,94.0
2004-01-11,91.0
2004-01-18,85.0
2004-01-25,93.0
2004-02-01,88.0
2004-02-08,88.0
2004-02-15,81.0
2004-02-22,89.0
2004-02-29,86.0
2004-03-07,87.0
2004-03-14,85.0
2004-03-21,76.0
2004-03-28,83.0
2004-04-04,91.0
2004-04-11,83.0
2004-04-18,88.0
2004-04-25,85.0
2004-05-02,83.0
2004-05-09,85.0
2004-05-16,81.0
2004-05-23,87.0
2004-05-30,88.0
2004-06-06,91.0
2004-06-13,92.0
2004-06-20,97.0
2004-06-27,94.0
2004-07-04,90.0
2004-07-11,92.0
2004-07-18,90.0
2004-07-25,99.0
2004-08-01,96.0
2004-08-08,98.0
2004-08-15,93.0
2004-08-22,99.0
2004-08-29,93.0
2004-09-05,90.0
2004-09-12,93.0
2004-09-19,94.0
2004-09-26,87.0
2004-10-03,100.0
2004-10-10,89.0
2004-10-17,92.0
2004-10-24,88.0
2004-10-31,77.0
2004-11-07,92.0
2004-11-14,100.0
2004-11-21,80.0
2004-11-28,86.0
2004-12-05,83.0
2004-12-12,85.0
2004-12-19,82.0
2004-12-26,88.0
2005-01-02,95.0
2005-01-09,85.0
2005-01-16,90.0
2005-01-23,97.0
2005-01-30,80.0
2005-02-06,76.0
2005-02-13,82.0
2005-02-20,85.0
2005-02-27,83.0
2005-03-06,87.0
2005-03-13,83.0
2005-03-20,82.0
2005-03-27,82.0
2005-04-03,88.0
2005-04-10,93.0
2005-04-17,94.0
2005-04-24,92.0
2005-05-01,82.0
2005-05-08,83.0
2005-05-15,85.0
2005-05-22,85.0
2005-05-29,85.0
2005-06-05,83.0
2005-06-12,84.0
2005-06-19,86.0
2005-06-26,83.0
2005-07-03,86.0
2005-07-10,96.0
2005-07-17,95.0
2005-07-24,92.0
2005-07-31,96.0
2005-08-07,93.0
2005-08-14,96.0
2005-08-21,91.0
2005-08-28,86.0
2005-09-04,97.0
2005-09-11,91.0
2005-09-18,91.0
2005-09-25,92.0
2005-10-02,88.0
2005-10-09,93.0
2005-10-16,100.0
2005-10-23,92.0
2005-10-30,95.0
2005-11-06,98.0
