ticker,GBLX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-12-30,60.0
2004-01-21,8.3333
2004-03-10,184.6154
2004-03-29,8.1081
2004-04-14,-25.0
2004-04-15,-16.6667
2004-04-16,20.0
2004-04-30,3.3333
2004-06-01,238.7097
2004-06-07,42.8571
2004-06-14,-16.6667
2004-06-16,220.0
2004-06-17,-18.75
2004-06-18,0.0
2004-06-22,15.3846
2004-06-28,32.0
2004-07-01,-44.4444
2004-07-09,9.0909
2004-07-13,8.3333
2004-07-19,-1.5385
2004-07-20,9.375
2004-07-21,7.1429
2004-07-23,20.0
2004-07-26,-16.6667
2004-07-27,0.0
2004-07-28,6.9333
2004-07-29,0.3741
2004-07-30,-0.3727
2004-08-02,-0.2494
2004-08-03,-6.25
2004-08-04,6.6667
2004-08-05,0.5
2004-08-06,5.7214
2004-08-10,-3.5294
2004-08-11,-1.2195
2004-08-12,0.0
2004-08-17,-1.2346
2004-08-18,0.0
2004-08-19,10.0
2004-08-20,-14.7727
2004-08-23,13.3333
2004-08-24,-5.8824
2004-08-25,3.75
2004-08-26,1.2048
2004-08-27,1.1905000000000001
2004-08-31,4.7059
2004-09-01,-1.1236
2004-09-02,0.0
2004-09-07,12.5
2004-09-08,-10.101
2004-09-09,-1.1236
2004-09-10,-6.8182
2004-09-14,0.0
2004-09-15,3.6585
2004-09-16,0.0
2004-09-21,1.1764999999999999
2004-09-22,0.0
2004-09-23,16.2791
2004-09-24,-12.0
2004-09-27,1.7045
2004-09-29,11.7318
2004-10-01,1.0
2004-10-04,-0.9901
2004-10-05,-3.0
2004-10-07,1.0309
2004-10-08,10.2041
2004-10-11,-5.5556
2004-10-12,2.9412000000000003
2004-10-13,1.9048
2004-10-14,4.6729
2004-10-15,4.4643
2004-10-18,2.5641
2004-10-19,1.6667
2004-10-20,-5.7377
2004-10-21,4.3478
2004-10-22,-1.6667
2004-10-25,-11.0169
2004-10-26,-28.5714
2004-10-27,8.0
2004-10-28,0.0
2004-10-29,0.0
2004-11-01,-3.7037
2004-11-02,0.0
2004-11-03,-3.8462
2004-11-04,1.3333
2004-11-05,0.0
2004-11-08,-3.9474
2004-11-09,6.8493
2004-11-10,0.0
2004-11-11,-8.9744
2004-11-12,0.0
2004-11-15,5.6338
2004-11-16,-0.6667
2004-11-17,-0.6711
2004-11-18,-2.7027
2004-11-19,-1.3889
2004-11-22,1.4085
2004-11-23,0.0
2004-11-24,-2.7778
2004-11-26,5.7143
2004-11-29,-8.1081
