ticker,CPYCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-11-26,53.4156
2004-11-29,-7.7253
2004-11-30,-10.4651
2004-12-06,-19.5698
2004-12-10,-0.6963
2004-12-17,12.1951
2004-12-30,2.8986
2005-01-05,-5.6338
2005-01-06,0.0
2005-01-07,-3.2836
2005-01-10,9.5679
2005-01-11,-2.8169
2005-01-13,-2.3188
2005-01-14,-0.5935
2005-01-19,16.4179
2005-01-20,-3.8462
2005-01-25,-3.3333
2005-01-27,-3.4483
2005-01-28,-4.2857
2005-01-31,-3.0037
2005-02-01,13.0987
2005-02-02,1.2245
2005-02-03,-0.5376
2005-02-04,-1.3514
2005-02-07,-2.7397
2005-02-08,-1.4085
2005-02-09,-2.8571
2005-02-11,2.9412000000000003
2005-02-14,8.5714
2005-02-15,6.5789
2005-02-16,-4.5679
2005-02-17,2.6116
2005-02-18,10.9448
2005-02-22,15.9091
2005-02-23,0.9804
2005-02-24,2.8155
2005-02-25,10.0094
2005-02-28,6.4378
2005-03-01,-7.2581
2005-03-04,-11.3913
2005-03-07,-5.2686
2005-03-08,-4.2797
2005-03-09,-1.5152
2005-03-10,-5.6044
2005-03-11,-1.0477
2005-03-15,18.1176
2005-03-16,1.2948
2005-03-17,8.1613
2005-03-18,-1.3636
2005-03-21,0.0922
2005-03-22,-0.5525
2005-03-24,-6.4815
2005-03-28,-1.9802
2005-03-30,-15.1515
2005-04-01,13.0952
2005-04-04,-3.6842
2005-04-05,0.0
2005-04-06,-0.5464
2005-04-08,13.1868
2005-04-11,-3.5133
2005-04-15,-12.4583
2005-04-18,-4.0661
2005-04-19,6.6347000000000005
2005-04-28,-2.6966
2005-05-02,-7.6212
2005-05-04,-3.75
2005-05-05,-1.9481000000000002
2005-05-06,-1.9868000000000001
2005-05-09,2.7027
2005-05-10,0.6579
2005-05-11,-3.5294
2005-05-12,-3.523
2005-05-17,-0.2809
2005-05-18,2.3504
2005-05-19,4.5842
2005-05-27,-5.1316
2005-06-02,-1.5257
2005-06-03,0.0
2005-06-06,0.0
2005-06-07,-4.2254
2005-06-08,-11.7647
2005-06-10,5.0
2005-06-15,0.7937
2005-06-16,0.1575
2005-06-22,-3.3019
2005-06-24,1.626
2005-06-29,-4.8
2005-07-06,14.0126
2005-07-18,6.136
2005-07-19,1.3889
2005-07-25,-3.4247
2005-07-26,-0.7092
2005-07-27,2.8571
2005-07-29,14.1667
2005-08-02,1.0341
2005-08-04,-0.0602
2005-08-05,0.0
2005-08-09,-6.0241
