ticker,SRLTF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-21,-3.8405
2007-12-24,4.4547
2007-12-27,2.9412000000000003
2007-12-28,-2.5714
2007-12-31,-0.2933
2008-01-02,-3.8235
2008-01-03,-2.6376
2008-01-04,-2.6305
2008-01-07,1.0887
2008-01-08,0.5185
2008-01-09,-2.5397
2008-01-11,9.772
2008-01-14,8.7537
2008-01-16,-5.4229
2008-01-22,-20.375
2008-01-23,5.7971
2008-01-24,1.0916
2008-01-28,2.7737
2008-01-29,-4.7384
2008-01-30,0.346
2008-01-31,-13.7931
2008-02-04,0.6
2008-02-07,-0.5964
2008-02-11,-0.25
2008-02-12,8.2707
2008-02-13,-5.3704
2008-02-14,4.3053
2008-02-20,5.6285
2008-02-22,-0.2886
2008-02-28,-3.8076
2008-03-03,0.9259
2008-03-04,8.1422
2008-03-06,-8.7593
2008-03-07,-2.9289
2008-03-18,-14.9425
2008-04-03,-4.3356
2008-04-07,-27.9576
2008-04-08,14.7059
2008-04-09,-19.0883
2008-04-11,1.0563
2008-04-21,16.3763
2008-04-25,-0.5988
2008-04-28,-9.0361
2008-05-07,-15.894
2008-05-14,24.0157
2008-05-15,0.3175
2008-05-16,-6.3291
2008-05-27,14.1892
2008-06-18,-5.6213
2008-06-19,2.8213
2008-06-20,9.1463
2008-06-23,0.0
2008-06-30,0.838
2008-07-21,0.831
2008-07-24,-48.9011
2008-07-25,18.2796
2008-07-31,-18.1818
2008-08-12,16.6667
2008-08-14,1.4285999999999999
2008-08-18,-5.4577
2008-09-02,0.807
2008-09-11,-27.5862
2008-10-02,-32.6531
2008-10-24,-59.596
2008-11-21,10.0
2008-12-18,-29.5455
2009-01-20,35.4839
2009-02-10,-4.7619
2009-03-23,0.0
2009-04-03,-55.0
2009-04-16,188.8889
2009-05-19,142.3077
2009-06-19,3.1746
2009-06-29,-35.3846
2009-07-10,-2.3810000000000002
2009-07-14,-9.7561
2009-08-05,121.6216
2009-08-10,-28.0488
2009-08-21,101.6949
2009-08-27,1.1029
2009-08-28,-4.2597
2009-09-14,2.8757
2009-09-16,-2.1097
2009-09-17,0.0
2009-09-21,2.5862
2009-09-29,-0.4202
2009-09-30,1.2658
2009-10-01,0.0
2009-10-05,25.8333
2009-10-06,26.490099999999998
2009-10-07,-9.1623
2009-10-13,8.5375
2009-10-16,-8.6625
2009-10-19,-5.5233
2009-10-20,-13.4231
2009-10-22,-1.1995
2009-10-23,35.2518
2009-11-05,-37.766
2009-11-06,-6.8376
