ticker,BSTN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-07,14.2857
2000-02-08,-12.525
2000-02-09,14.3184
2000-02-10,24.0
2000-02-11,0.0
2000-02-14,20.9677
2000-02-22,-41.8667
2000-03-08,-42.6606
2000-03-09,-60.0
2000-03-13,400.0
2000-03-29,-87.5
2000-04-03,3500.0
2000-04-07,-91.1111
2000-06-22,30.0
2000-06-30,15.3846
2000-07-12,-66.6667
2000-07-13,0.0
2000-07-14,0.0
2000-07-18,-40.0
2000-07-19,-30.0
2000-07-21,0.0
2000-07-27,376.1905
2000-07-28,0.0
2000-07-31,-40.0
2000-08-01,63.3333
2000-08-02,-28.5714
2000-08-03,257.1429
2000-08-04,-25.0
2000-08-07,-46.6667
2000-08-08,-20.0
2000-08-09,75.0
2000-08-10,-10.7143
2000-08-15,-44.0
2000-08-18,-14.2857
2000-08-24,66.6667
2000-08-25,100.0
2000-08-28,-25.0
2000-08-29,0.0
2000-09-01,-26.6667
2000-09-06,-27.2727
2000-09-11,25.0
2000-09-12,0.0
2000-09-13,10.0
2000-09-15,9.0909
2000-09-26,-58.3333
2000-09-27,60.0
2000-09-28,25.0
2000-10-02,-30.0
2000-10-09,0.0
2000-10-10,14.2857
2000-10-12,-12.5
2000-10-13,-14.2857
2000-10-17,-50.0
2000-10-24,-33.3333
2000-11-09,150.0
2000-11-10,-40.0
2000-11-14,66.6667
2000-11-15,0.0
2000-12-01,-20.0
2000-12-11,-50.0
2000-12-15,-45.0
2000-12-21,172.7273
2000-12-27,-33.3333
2000-12-29,-20.0
2001-01-02,150.0
2001-01-09,-60.0
2001-01-10,-6.25
2001-01-17,-26.6667
2001-01-22,0.0
2001-01-23,81.8182
2001-01-26,-45.0
2001-02-06,36.3636
2001-02-07,166.6667
2001-02-09,-25.0
2001-02-13,33.3333
2001-02-14,12.5
2001-02-15,55.5556
2001-02-16,0.0
2001-02-21,28.5714
2001-02-22,-22.2222
2001-02-23,71.4286
2001-02-26,-25.0
2001-02-27,33.3333
2001-03-01,-25.0
2001-03-05,-11.1111
2001-03-06,-12.5
2001-03-08,-35.7143
2001-03-09,122.2222
2001-03-12,0.0
2001-03-13,-20.0
2001-03-22,0.0
2001-03-23,-37.5
2001-03-26,10.0
2001-04-02,-27.2727
2001-04-04,0.0
2001-04-05,0.0
2001-04-10,25.0
2001-04-12,70.0
2001-04-16,5.8824
2001-04-17,11.1111
2001-04-18,0.0
2001-04-19,0.0
2001-04-20,0.0
2001-04-23,-40.0
