ticker,CLRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.7856999999999998
2000-01-04,-7.2727
2000-01-05,1.9607999999999999
2000-01-06,4.3269
2000-01-07,0.0
2000-01-10,-4.1475
2000-01-11,-0.9615
2000-01-12,-1.9417
2000-01-13,-5.9406
2000-01-14,7.3684
2000-01-18,8.8235
2000-01-19,4.0541
2000-01-20,0.4329
2000-01-21,-0.8621
2000-01-24,3.4783
2000-01-25,-8.8235
2000-01-26,0.0
2000-01-27,0.4608
2000-01-28,-5.0459
2000-01-31,-1.4493
2000-02-01,0.9804
2000-02-02,-2.4272
2000-02-03,7.4627
2000-02-04,-1.8519
2000-02-07,4.717
2000-02-08,8.1081
2000-02-09,4.5833
2000-02-10,1.1952
2000-02-11,-5.5118
2000-02-14,-2.5
2000-02-15,-0.8547
2000-02-16,6.8966
2000-02-17,0.0
2000-02-18,-5.6452
2000-02-22,11.9658
2000-02-23,-6.8702
2000-02-24,3.6885
2000-02-25,11.8577
2000-02-28,19.788
2000-02-29,10.6195
2000-03-01,-7.2
2000-03-02,-6.8966
2000-03-03,0.0
2000-03-06,6.1728
2000-03-07,-4.6512
2000-03-08,7.9268
2000-03-09,-0.565
2000-03-10,-1.1364
2000-03-13,-2.2989
2000-03-14,5.8824
2000-03-15,-5.5556
2000-03-16,-12.9412
2000-03-17,6.0811
2000-03-20,-9.5541
2000-03-21,0.0
2000-03-22,6.338
2000-03-23,-4.3046
2000-03-24,-3.8062
2000-03-27,6.4748
2000-03-28,-4.3919
2000-03-29,0.3534
2000-03-30,-1.4085
2000-03-31,15.7143
2000-04-03,-11.1111
2000-04-04,-6.9444
2000-04-05,2.2388
2000-04-06,4.7445
2000-04-07,2.439
2000-04-10,8.8435
2000-04-11,-0.625
2000-04-12,-6.2893
2000-04-13,-14.094
2000-04-14,-19.5313
2000-04-17,8.7379
2000-04-18,14.2857
2000-04-19,-1.5625
2000-04-20,0.0
2000-04-24,-4.7619
2000-04-25,0.0
2000-04-26,3.3333
2000-04-27,3.629
2000-04-28,1.1673
2000-05-01,4.6154
2000-05-02,0.0
2000-05-03,-0.7353
2000-05-04,-4.4444
2000-05-05,2.3256
2000-05-08,-3.0303
2000-05-09,-4.6875
2000-05-10,-2.0492
2000-05-11,0.4184
2000-05-12,-3.3333
2000-05-15,3.4483
2000-05-16,3.3333
2000-05-17,-1.6129
2000-05-18,0.0
2000-05-19,-4.918
2000-05-22,-14.6552
2000-05-23,2.0202
2000-05-24,-3.9604
