ticker,SIBE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.8824
2000-01-04,8.75
2000-01-05,-3.4483
2000-01-06,0.0
2000-01-07,-4.7619
2000-01-10,0.0
2000-01-11,0.0
2000-01-12,0.0
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,3.75
2000-01-19,-1.2048
2000-01-20,1.2195
2000-01-21,1.2048
2000-01-24,4.7619
2000-01-25,0.0
2000-01-26,-2.2727
2000-01-27,0.5814
2000-01-28,-1.7341
2000-01-31,0.0
2000-02-01,3.5294
2000-02-02,11.3636
2000-02-03,0.0
2000-02-04,6.1224
2000-02-07,0.0
2000-02-08,-7.6923
2000-02-09,1.0417
2000-02-10,1.0309
2000-02-11,2.0408
2000-02-14,-4.0
2000-02-15,1.0417
2000-02-16,13.4021
2000-02-17,9.0909
2000-02-18,-3.3333
2000-02-22,-5.1724
2000-02-23,-9.0909
2000-02-24,-4.0
2000-02-29,0.0
2000-03-01,0.0
2000-03-02,6.25
2000-03-03,1.9607999999999999
2000-03-08,-11.538499999999999
2000-03-09,13.0435
2000-03-10,7.6923
2000-03-13,21.4286
2000-03-14,2.9412000000000003
2000-03-15,0.0
2000-03-16,1.4285999999999999
2000-03-17,5.6338
2000-03-20,-2.6667
2000-03-21,-6.8493
2000-03-23,5.8824
2000-03-24,4.1667
2000-03-27,4.0
2000-03-28,7.6923
2000-03-29,-10.7143
2000-03-30,28.0
2000-03-31,4.1667
2000-04-03,-12.0
2000-04-04,5.6818
2000-04-05,-13.9785
2000-04-06,0.0
2000-04-07,5.0
2000-04-10,5.9524
2000-04-11,-1.1236
2000-04-12,-6.8182
2000-04-13,-2.439
2000-04-14,0.0
2000-04-17,-3.75
2000-04-18,-1.2987
2000-04-19,0.0
2000-04-25,31.5789
2000-04-26,-8.0
2000-04-27,-8.6957
2000-04-28,-1.9048
2000-05-01,-2.9126
2000-05-02,0.0
2000-05-03,1.25
2000-05-04,-1.2346
2000-05-05,0.0
2000-05-08,0.0
2000-05-10,-2.5
2000-05-11,5.1282
2000-05-12,2.439
2000-05-15,-2.3810000000000002
2000-05-16,-3.6585
2000-05-17,0.0
2000-05-18,0.0
2000-05-22,-3.7975
2000-05-23,1.3158
2000-05-25,-1.2987
2000-05-26,-5.2632
2000-05-30,0.0
2000-05-31,0.0
2000-06-02,-0.6944
2000-06-05,-2.7972
2000-06-06,0.7194
2000-06-07,-3.5714
2000-06-08,0.7407
2000-06-09,5.8824
2000-06-12,-9.7222
