ticker,ANAS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,4.1667
2000-01-05,-4.0
2000-01-10,4.1667
2000-01-19,50.0
2000-01-24,-33.3333
2000-02-03,16.6667
2000-02-04,-28.5714
2000-02-11,20.0
2000-02-16,0.0
2000-02-17,0.0
2000-02-24,-1.3333
2000-02-28,-32.4324
2000-03-13,50.0
2000-03-14,-33.3333
2000-03-15,75.0
2000-03-21,-14.2857
2000-03-27,16.6667
2000-03-28,64.2857
2000-03-29,13.0435
2000-03-30,-30.7692
2000-04-06,12.0
2000-04-12,-40.4762
2000-04-14,0.0
2000-04-17,0.0
2000-04-19,-33.3333
2000-05-18,-96.0
2000-06-13,4900.0
2000-06-30,-50.0
2000-07-25,0.0
2000-07-26,0.0
2000-08-03,-12.5
2000-08-04,-14.2857
2000-08-09,0.0
2000-08-11,-30.6667
2000-08-17,-3.8462
2000-09-01,75.0
2000-09-12,14.2857
2000-09-13,100.0
2000-09-25,-37.5
2000-09-27,-40.0
2000-09-29,0.0
2000-10-02,233.3333
2000-10-03,10.0
2000-10-06,0.0
2000-10-10,-36.3636
2000-10-11,57.1429
2000-10-12,9.0909
2000-10-13,-25.0
2000-10-16,-11.1111
2000-10-17,0.0
2000-10-20,12.5
2000-10-23,-5.5556
2000-10-24,17.647100000000002
2000-10-25,-18.4
2000-10-26,22.549
2000-10-30,-12.0
2000-10-31,-12.7273
2000-11-01,4.1667
2000-11-02,0.0
2000-11-03,6.25
2000-11-06,0.0
2000-11-08,-5.8824
2000-11-09,6.25
2000-11-10,5.8824
2000-11-14,-16.6667
2000-11-16,-20.0
2000-11-17,41.6667
2000-11-20,-5.8824
2000-11-21,-6.25
2000-11-22,6.6667
2000-11-24,2.0
2000-11-27,-44.8529
2000-11-28,33.3333
2000-11-29,-25.0
2000-12-01,-11.1111
2000-12-04,-12.5
2000-12-05,-4.0
2000-12-19,-10.7143
2000-12-21,0.0
2000-12-22,0.0
2000-12-27,-14.6667
2000-12-28,0.0
2001-01-08,-2.3437
2001-01-09,10.4
2001-01-11,44.9275
2001-01-26,-25.0
2001-02-20,-53.3333
2001-02-21,71.4286
2001-02-22,33.3333
2001-02-23,25.0
2001-02-26,50.0
2001-02-27,-16.6667
2001-02-28,-12.0
2001-03-01,-27.2727
2001-03-05,12.5
2001-03-06,-2.7778
2001-03-07,2.8571
2001-03-09,0.0
2001-03-12,-5.5556
2001-03-13,5.8824
2001-03-14,-5.5556
2001-03-15,41.1765
2001-03-16,16.6667
