ticker,BIXZF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-05-21,11.8283
2009-05-27,-6.503
2009-05-28,0.0
2009-05-29,2.4581
2009-06-01,7.2655
2009-06-02,6.3159
2009-06-03,8.3433
2009-06-04,5.9356
2009-06-09,-17.7151
2009-06-10,13.8084
2009-06-11,0.8674
2009-06-12,-1.2128
2009-06-15,-1.7856999999999998
2009-06-16,0.4545
2009-06-17,-4.0724
2009-06-19,-2.5472
2009-06-22,-8.3011
2009-06-23,2.085
2009-06-24,17.9938
2009-06-26,8.9176
2009-06-29,4.9286
2009-06-30,4.2945
2009-07-07,16.1765
2009-07-08,-5.443
2009-07-10,5.6894
2009-07-13,11.463
2009-07-14,9.1051
2009-07-15,9.868500000000001
2009-07-16,-4.0171
2009-07-17,3.3395
2009-07-20,13.9358
2009-07-21,-0.5977
2009-07-22,-0.2426
2009-07-23,15.4965
2009-07-24,2.7146
2009-07-27,-5.3169
2009-07-28,-12.7136
2009-07-29,5.8132
2009-07-30,14.2391
2009-07-31,1.3562
2009-08-04,-2.4295999999999998
2009-08-05,-1.6465
2009-08-07,-5.9212
2009-08-10,0.8044
2009-08-12,-5.7117
2009-08-13,-3.0776
2009-08-14,-3.1065
2009-08-17,-9.6838
2009-08-18,9.9661
2009-08-19,-3.7396000000000003
2009-08-20,3.7477
2009-08-21,3.2599
2009-08-24,13.0546
2009-08-25,-1.6981000000000002
2009-08-27,-3.263
2009-08-28,-4.4841
2009-08-31,-10.3448
2009-09-01,2.1316
2009-09-03,4.6109
2009-09-04,10.7726
2009-09-08,-0.4307
2009-09-09,-5.7806
2009-09-11,0.0313
2009-09-16,2.4617
2009-09-18,-2.769
2009-09-21,-3.607
2009-09-24,6.0121
2009-09-25,1.2295
2009-09-29,5.0607
2009-10-05,-8.6994
2009-10-08,11.4963
2009-10-09,3.6955999999999998
2009-10-13,20.3249
2009-10-14,-2.5484999999999998
2009-10-15,-2.6151999999999997
2009-10-16,4.6116
2009-10-19,5.1646
2009-10-20,-1.5002
2009-10-22,-5.9483
2009-10-26,-4.2778
2009-10-27,-1.5156
2009-10-29,-1.5098
2009-10-30,2.0608
2009-11-02,-3.5212
2009-11-03,-2.2387
2009-11-04,18.5392
2009-11-11,-5.0516
2009-11-12,12.0362
2009-11-13,4.4253
2009-11-16,4.5842
2009-11-17,-4.1794
2009-11-18,-0.6383
2009-11-19,-2.9176
2009-11-20,-1.2131
2009-11-23,6.4471
2009-11-25,-1.3273
2009-11-30,-1.3982999999999999
