ticker,ZYRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-31,-25.0
2007-02-20,0.0
2007-02-21,100.0
2007-03-26,-33.3333
2007-04-04,-25.0
2007-04-17,-80.0
2007-04-18,133.3333
2007-06-04,-74.2857
2007-06-05,-44.4444
2007-06-14,12.5
2007-06-19,-33.3333
2007-06-21,101.3333
2007-06-29,-0.6623
2007-07-02,-10.3333
2007-07-03,-7.0632
2007-07-05,-18.0
2007-07-06,-39.0244
2007-07-09,40.0
2007-07-10,-70.8571
2007-07-11,-50.9804
2007-07-12,-52.05
2007-07-13,12.6173
2007-07-16,77.7778
2007-07-17,-16.6667
2007-07-18,-5.0
2007-07-19,-26.3158
2007-07-20,7.1429
2007-07-23,13.3333
2007-07-24,-11.7647
2007-07-25,-13.3333
2007-07-27,-23.0769
2007-07-30,20.0
2007-07-31,50.0
2007-08-01,72.2222
2007-08-02,-6.4516
2007-08-03,-41.3793
2007-08-06,5.8824
2007-08-07,61.1111
2007-08-08,-17.2414
2007-08-10,-4.1667
2007-08-13,30.4348
2007-08-15,0.0
2007-08-16,0.0
2007-08-17,50.0
2007-08-20,6.6667
2007-08-21,-2.0833
2007-08-22,-14.8936
2007-08-23,0.0
2007-08-24,-15.0
2007-08-27,2.9412000000000003
2007-08-28,-8.5714
2007-08-29,25.0
2007-08-30,-20.0
2007-08-31,-3.125
2007-09-04,22.5806
2007-09-05,-2.6316
2007-09-06,-8.1081
2007-09-07,-2.9412000000000003
2007-09-10,-3.0303
2007-09-11,-21.875
2007-09-12,-40.0
2007-09-13,33.3333
2007-09-14,20.0
2007-09-17,4.1667
2007-09-18,-36.0
2007-09-19,-40.625
2007-09-20,-56.8421
2007-09-21,-19.5122
2007-09-24,51.5152
2007-09-25,-20.0
2007-09-26,-12.5
2007-09-27,0.0
2007-09-28,5.7143
2007-10-01,21.6216
2007-10-02,-44.4444
2007-10-03,-4.0
2007-10-04,16.6667
2007-10-05,-28.5714
2007-10-08,50.0
2007-10-09,0.0
2007-10-10,-16.6667
2007-10-11,-10.0
2007-10-12,-11.1111
2007-10-15,0.0
2007-10-16,-17.5
2007-10-17,-9.0909
2007-10-18,13.3333
2007-10-19,-17.647100000000002
2007-10-22,-21.4286
2007-10-23,36.3636
2007-10-24,-26.6667
2007-10-25,0.0
2007-10-26,63.6364
2007-10-29,0.0
2007-10-30,-44.4444
2007-10-31,50.0
2007-11-01,6.6667
2007-11-02,-31.25
2007-11-05,-9.0909
2007-11-06,-15.0
