ticker,HIUH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,25.0
2000-01-05,0.0
2000-01-06,30.0
2000-01-07,23.0769
2000-01-10,-3.125
2000-01-12,-6.4516
2000-01-13,-3.4483
2000-01-14,5.3571
2000-01-18,-32.2034
2000-01-19,20.0
2000-01-20,-12.5
2000-01-21,0.0
2000-01-24,35.7143
2000-01-25,-3.1579
2000-01-26,-13.0435
2000-01-27,-8.3333
2000-01-28,-9.0909
2000-01-31,0.0
2000-02-01,-17.5
2000-02-02,21.2121
2000-02-03,-2.5
2000-02-04,0.0
2000-02-07,-7.6923
2000-02-08,-5.5556
2000-02-09,-5.8824
2000-02-10,-9.375
2000-02-11,-3.4483
2000-02-14,-14.2857
2000-02-15,0.0
2000-02-16,-22.9167
2000-02-18,-2.7027
2000-02-22,0.0
2000-02-23,-11.1111
2000-02-24,0.0
2000-03-01,-95.0
2000-03-30,200.0
2000-04-03,6.6667
2000-05-17,0.0
2000-05-18,0.0
2000-06-20,0.0
2000-07-10,0.0
2000-08-04,0.0
2000-08-14,0.0
2000-10-25,0.0
2000-11-27,0.0
2000-12-28,290.625
2000-12-29,61.6
2001-01-22,-70.297
2001-01-30,200.0
2001-01-31,38.8889
2001-02-01,-19.2
2001-02-06,-10.8911
2001-02-07,0.0
2001-02-08,0.0
2001-02-09,0.0
2001-02-13,-8.8889
2001-02-14,-1.2195
2001-02-21,-1.2346
2001-02-23,0.0
2001-02-28,27.5
2001-03-20,-16.6667
2001-03-21,-2.3529
2001-03-27,0.0
2001-03-29,-3.6145
2001-03-30,56.25
2001-04-05,-20.0
2001-04-10,0.5
2001-04-23,-10.4478
2001-04-25,11.1111
2001-04-26,2.0
2001-04-27,0.9804
2001-04-30,41.7476
2001-05-04,2.7397
2001-05-09,-16.6667
2001-05-10,-19.2
2001-05-11,-2.9703
2001-05-14,-14.2857
2001-05-17,7.1429
2001-05-18,0.0
2001-05-21,0.0
2001-05-22,0.0
2001-05-24,2.2222
2001-05-29,0.0
2001-05-30,11.9565
2001-05-31,26.2136
2001-06-08,-28.4615
2001-06-11,-2.1505
2001-06-12,-1.0989
2001-06-19,2.2222
2001-06-20,-1.087
2001-06-26,0.0
2001-06-28,12.0879
2001-06-29,-1.9607999999999999
2001-07-12,-5.0
2001-07-17,-18.947400000000002
2001-07-18,-14.2857
2001-07-20,24.2424
2001-07-30,39.0244
2001-07-31,24.5614
2001-08-01,-1.4085
2001-08-10,0.0
2001-08-16,0.0
2001-08-21,5.0
