ticker,MXC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-07,-16.6667
2000-02-14,-2.5
2000-03-08,0.0
2000-03-09,0.0
2000-04-07,-2.5641
2000-04-17,5.2632
2000-05-01,-12.5
2000-06-20,2.8571
2000-07-03,0.0
2000-07-07,11.1111
2000-07-24,0.0
2000-07-28,0.0
2000-08-07,-10.0
2000-08-09,0.0
2000-08-29,11.1111
2000-09-22,-10.0
2000-10-04,55.5556
2000-10-05,-14.2857
2000-10-31,-2.0833
2000-11-09,0.0
2000-11-15,0.0
2000-12-19,14.8936
2001-02-13,-16.6667
2001-02-14,-2.2222
2001-03-05,0.0
2001-03-07,-15.9091
2001-03-14,18.9189
2001-03-16,-27.2727
2001-03-20,56.25
2001-03-28,0.0
2001-05-23,-36.0
2001-06-13,2.5
2001-06-14,-1.2195
2001-06-19,-19.5062
2001-06-28,48.773
2001-07-02,-17.5258
2001-07-05,2.5
2001-07-18,-0.2439
2001-08-07,-5.6235
2001-08-08,3.6269
2001-08-16,2.25
2001-09-06,-5.379
2001-09-17,5.168
2001-09-21,-5.1597
2001-09-28,12.1762
2001-10-01,-5.3118
2001-10-08,0.2439
2001-10-17,-0.2433
2001-10-29,0.0
2001-11-01,-4.878
2001-11-05,-10.2564
2001-11-08,12.857099999999999
2001-11-13,-20.2532
2001-11-14,1.5873
2001-11-15,9.375
2001-11-16,0.0
2001-11-19,-8.5714
2001-11-20,-4.6875
2001-11-28,-1.6393
2001-11-29,3.3333
2001-11-30,-6.4516
2001-12-04,6.8966
2001-12-13,29.0323
2001-12-14,25.0
2001-12-17,-10.0
2002-01-08,11.1111
2002-01-14,0.0
2002-01-18,-10.0
2002-01-30,11.1111
2002-02-07,-5.0
2002-02-08,-5.2632
2002-03-06,-7.1111
2002-03-08,5.2632
2002-03-13,0.0
2002-03-18,-3.75
2002-04-04,-1.2987
2002-04-16,1.3158
2002-04-17,0.0
2002-04-30,3.8961
2002-05-09,-3.75
2002-05-17,3.8961
2002-05-20,6.25
2002-05-21,10.5882
2002-05-22,-4.2553
2002-05-28,-3.3333
2002-05-30,60.9195
2002-06-03,0.0
2002-06-05,-14.2857
2002-06-10,50.0
2002-06-21,-5.5556
2002-06-24,-29.4118
2002-07-02,0.0
2002-07-03,8.3333
2002-07-23,-7.6923
2002-07-24,0.0
2002-08-07,-28.3333
2002-09-09,-36.0465
2002-09-11,9.0909
2002-09-12,-15.0
2002-09-13,0.0
2002-09-16,25.4902
2002-10-09,-28.125
