ticker,MAAFF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-11,21.4286
2000-01-18,-5.8824
2000-01-31,6.25
2000-02-08,-11.7647
2000-02-09,6.6667
2000-02-10,0.0
2000-02-14,31.25
2000-02-15,14.2857
2000-02-18,25.0
2000-02-21,0.0
2000-02-22,6.6667
2000-02-23,0.0
2000-02-24,15.625
2000-03-01,-5.4054
2000-03-06,-8.5714
2000-03-08,3.125
2000-03-09,0.0
2000-03-10,9.0909
2000-03-15,-15.2778
2000-03-24,-14.7541
2000-03-29,-23.0769
2000-03-31,0.0
2000-04-03,0.0
2000-04-06,0.0
2000-04-14,-15.0
2000-06-08,-11.7647
2000-06-12,0.0
2000-06-13,-33.3333
2000-06-19,0.0
2000-06-20,0.0
2000-07-06,0.0
2000-07-12,0.0
2000-07-18,-10.0
2000-07-26,22.2222
2000-07-27,0.0
2000-08-01,-27.2727
2000-08-09,25.0
2000-08-10,0.0
2000-08-11,9.375
2000-08-24,-36.0
2000-08-30,71.4286
2000-08-31,8.3333
2000-09-06,-7.6923
2000-09-15,-8.3333
2000-09-18,-9.0909
2000-09-21,-5.0
2000-09-25,5.2632
2000-09-29,0.0
2000-10-02,30.0
2000-10-03,7.6923
2000-10-04,-14.2857
2000-10-10,25.0
2000-10-13,-13.3333
2000-10-18,0.0
2000-10-19,0.0
2000-10-23,-15.3846
2000-11-15,0.0
2000-11-16,-9.0909
2000-11-21,40.0
2000-11-27,-28.5714
2000-12-01,-10.0
2000-12-07,-22.2222
2000-12-13,28.5714
2000-12-20,11.1111
2000-12-21,-5.0
2000-12-29,5.2632
2001-01-01,0.0
2001-01-08,0.0
2001-01-23,-10.0
2001-01-30,11.1111
2001-01-31,-5.0
2001-02-06,5.2632
2001-02-07,20.0
2001-02-27,-33.3333
2001-03-05,12.5
2001-03-26,-16.6667
2001-03-27,46.6667
2001-03-28,45.4545
2001-03-29,0.0
2001-04-16,-12.5
2001-04-17,0.0
2001-04-20,0.0
2001-05-11,-50.0
2001-05-30,100.0
2001-06-20,14.2857
2001-07-09,50.0
2001-07-12,0.0
2001-07-18,66.6667
2001-07-19,-50.0
2001-07-23,100.0
2001-07-26,-17.5
2001-07-30,7.5758
2001-08-01,9.8592
2001-08-02,-2.5641
2001-08-16,2.6316
2001-08-17,-3.3814
2001-09-21,-20.3848
2001-10-02,-6.6667
2001-10-04,14.2857
2001-10-05,-18.75
2001-10-16,15.3846
2001-12-05,-68.3333
2001-12-14,26.3158
2001-12-17,0.0
