ticker,RDOIF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-08-11,5.808
2010-08-25,-7.6514
2010-09-24,-1.2219
2010-09-27,3.4318
2010-09-29,-1.3966
2010-09-30,-0.9469
2010-10-01,4.7875
2010-10-07,0.2413
2010-10-12,22.864
2010-10-13,17.0421
2010-10-14,-8.091
2010-10-15,-0.6317
2010-10-18,14.1965
2010-10-19,0.7372
2010-10-20,1.0056
2010-10-21,-3.0064
2010-10-22,4.1463
2010-10-25,19.194
2010-10-26,3.6881
2010-10-27,1.8199
2010-10-28,10.0806
2010-10-29,-4.4977
2010-11-01,-4.5252
2010-11-02,5.0448
2010-11-03,-1.1547
2010-11-04,4.1667
2010-11-05,8.2464
2010-11-08,7.9646
2010-11-09,-4.5503
2010-11-10,-5.5548
2010-11-12,2.1052
2010-11-15,0.3984
2010-11-16,-12.6554
2010-11-17,-2.9266
2010-11-18,4.2122
2010-11-19,0.101
2010-11-22,6.5914
2010-11-23,3.0937
2010-11-24,-2.5653
2010-11-29,-7.2561
2010-11-30,-6.939
2010-12-01,1.6183
2010-12-02,2.6118
2010-12-03,1.0786
2010-12-06,20.5021
2010-12-07,-6.4985
2010-12-08,4.5789
2010-12-09,-0.1987
2010-12-10,4.978
2010-12-13,0.995
2010-12-14,5.9421
2010-12-15,21.0113
2010-12-16,5.4227
2010-12-17,7.4673
2010-12-20,6.7153
2010-12-21,-7.8778
2010-12-22,-2.4839
2010-12-23,2.6489000000000003
2010-12-29,7.9097
2010-12-31,2.1918
2011-01-04,-1.7951000000000001
2011-01-05,0.9806
2011-01-06,-0.0158
2011-01-07,2.4054
2011-01-10,-7.9048
2011-01-11,-9.0909
2011-01-12,4.7794
2011-01-13,-4.2105
2011-01-14,5.0916
2011-01-18,0.488
2011-01-19,-13.2501
2011-01-20,-5.6377
2011-01-21,10.0212
2011-01-24,7.0672
2011-01-25,-8.2734
2011-01-26,-4.7843
2011-01-27,-1.0502
2011-01-28,-0.3122
2011-01-31,6.0543
2011-02-01,5.4331
2011-02-02,-3.3047
2011-02-03,-3.6687
2011-02-04,-0.7567
2011-02-07,-2.5903
2011-02-08,-1.2181
2011-02-09,-3.3137
2011-02-10,5.0935
2011-02-11,7.0853
2011-02-14,10.8097
2011-02-15,0.742
2011-02-16,-5.8126
2011-02-17,1.3645
2011-02-18,0.224
2011-02-22,-4.6299
2011-02-24,-5.5861
2011-02-25,-0.0802
2011-02-28,1.666
2011-03-01,-2.3544
2011-03-02,-0.6091
