ticker,SRMUF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-04-10,112.5
2000-04-25,-13.7255
2000-10-10,-34.0909
2000-10-19,-32.7586
2000-11-08,2.5641
2000-11-09,0.0
2001-06-18,15.0
2001-11-30,-60.8696
2001-12-10,-22.2222
2002-01-15,78.5714
2002-02-01,44.0
2002-02-04,27.7778
2002-03-25,-22.8261
2002-05-08,29.5775
2002-05-23,-8.6957
2003-01-30,-9.0476
2003-02-05,46.5969
2003-02-14,0.0
2003-02-24,3.5714
2003-02-25,5.1724
2003-02-27,3.2787
2003-05-06,30.1587
2003-06-04,24.3902
2003-06-05,-1.9607999999999999
2003-06-09,50.0
2003-06-13,10.6667
2003-06-16,34.9398
2003-06-17,6.25
2003-06-18,-10.084
2003-06-19,8.411200000000001
2003-06-20,0.0
2003-06-23,-17.6724
2003-06-24,-0.5236
2003-06-25,-2.1053
2003-06-26,1.0753
2003-07-08,-22.3404
2003-07-10,15.0685
2003-07-14,0.5952
2003-07-15,-0.5917
2003-07-18,-7.1429
2003-07-21,-19.2308
2003-07-23,3.1746
2003-07-24,1.5385
2003-07-25,-5.303
2003-07-31,-8.0
2003-08-07,3.4783
2003-08-12,-14.2857
2003-08-18,5.8824
2003-08-22,37.037
2003-09-03,-12.1622
2003-09-09,10.7692
2003-09-10,5.5556
2003-09-15,-3.9474
2003-09-16,-4.1096
2003-09-22,-16.4286
2003-09-23,-16.2393
2003-09-24,10.2041
2003-09-26,-9.2593
2003-09-29,1.0204
2003-09-30,3.0303
2003-10-02,-2.9412000000000003
2003-10-07,-15.1515
2003-10-08,-5.9524
2003-10-15,1.2658
2003-10-16,0.0
2003-10-21,10.0
2003-10-23,-2.2727
2003-10-28,23.2558
2003-12-05,-3.7736
2003-12-09,2.3775
2003-12-10,-9.9832
2003-12-12,-3.1915
2003-12-16,-1.3462
2003-12-19,1.3645
2004-01-08,7.6923
2004-01-13,4.0816
2004-01-20,23.5294
2004-01-21,-2.3810000000000002
2004-02-02,2.439
2004-02-06,12.6984
2004-02-09,-2.1127
2004-02-13,7.1942
2004-02-24,0.6711
2004-02-27,-14.6667
2004-03-19,-2.3437
2004-03-23,-8.8
2004-04-01,5.2632
2004-04-19,-1.6667
2004-06-25,-6.7797
2004-09-22,-14.5455
2004-12-15,-46.8085
2004-12-29,-4.0
2005-01-04,6.25
2005-01-28,9.8039
2005-02-22,21.4286
2005-03-17,25.0
2005-06-02,-24.7059
2005-06-14,-11.5625
2005-06-17,19.8542
