ticker,MPRG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-15,8900.0
2000-02-18,-77.7778
2000-02-22,350.0
2000-03-02,0.0
2000-03-09,-77.7778
2000-04-12,350.0
2000-04-26,-77.7778
2000-05-17,0.0
2000-05-26,-45.0
2000-06-19,0.0
2000-08-21,-31.8182
2000-10-17,0.0
2001-01-18,166.6667
2001-01-24,-62.5
2001-10-31,166.6667
2001-11-01,-62.5
2001-12-19,0.0
2002-01-18,-33.3333
2002-02-06,200.0
2002-03-13,-66.6667
2002-05-03,0.0
2002-07-29,40.0
2002-08-28,-28.5714
2002-09-16,100.0
2002-10-10,-50.0
2002-11-21,-20.0
2003-05-14,25.0
2003-07-02,200.0
2003-07-07,0.0
2003-07-09,0.0
2003-07-15,-33.3333
2003-08-07,0.0
2003-08-11,-50.0
2004-03-12,40.0
2004-04-16,185.7143
2004-08-11,-92.5
2004-08-12,1233.3333
2004-08-27,24.5
2004-08-30,0.4016
2004-08-31,-0.8
2004-09-01,-9.2742
2004-09-08,0.0
2004-09-13,6.6667
2004-09-22,0.0
2004-09-24,4.1667
2004-09-29,0.0
2004-09-30,0.0
2004-10-01,-10.0
2004-10-04,6.6667
2004-10-05,-4.1667
2004-10-06,-2.1739
2004-10-11,0.0
2004-10-12,11.1111
2004-10-13,0.0
2004-10-14,-0.8
2004-10-15,-9.2742
2004-10-18,0.0
2004-10-19,0.0
2004-10-20,-11.1111
2004-10-22,0.0
2004-10-25,2.5
2004-10-29,-12.1951
2004-11-15,-5.5556
2004-11-17,-8.8235
2004-11-18,-4.5161
2004-11-29,0.0
2004-12-08,0.0
2004-12-15,14.8649
2005-01-03,-35.2941
2005-01-04,9.0909
2005-01-10,-37.5
2005-01-11,80.0
2005-01-18,48.1481
2005-01-19,-1.5
2005-01-20,-1.0152
2005-01-21,15.3846
2005-01-25,4.4444
2005-01-26,0.0
2005-01-27,6.383
2005-01-28,8.0
2005-02-01,14.8148
2005-02-02,3.2258
2005-02-03,-9.375
2005-02-04,3.4483
2005-02-09,-8.3333
2005-02-10,5.4545
2005-02-11,-3.4483
2005-02-14,0.0
2005-02-15,-5.3571
2005-02-16,-3.7736
2005-02-17,-1.9607999999999999
2005-02-18,-2.0
2005-02-22,0.0
2005-02-23,-10.2041
2005-02-28,-36.3636
2005-03-01,3.5714
2005-03-02,-20.6897
2005-03-03,-12.1739
2005-03-04,7.9208
2005-03-07,-12.844
2005-03-08,-33.6842
2005-03-09,-1.5873
2005-03-10,-3.2258
