ticker,IDXG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.7578
2000-01-04,-3.6875999999999998
2000-01-05,0.6757
2000-01-06,-1.5659999999999998
2000-01-07,2.5
2000-01-10,-2.2173
2000-01-11,-0.6803
2000-01-12,-1.3699
2000-01-13,4.6296
2000-01-14,6.1947
2000-01-18,0.0
2000-01-19,-1.25
2000-01-20,-4.2194
2000-01-21,2.6432
2000-01-24,-0.8584
2000-01-25,-0.4329
2000-01-26,0.6522
2000-01-27,-0.8639
2000-01-28,-1.7429000000000001
2000-01-31,-4.2129
2000-02-01,4.6296
2000-02-02,0.885
2000-02-03,-3.9474
2000-02-04,-0.6849
2000-02-07,-4.5977
2000-02-08,2.6506
2000-02-09,-3.7559
2000-02-10,5.3659
2000-02-11,-0.9259
2000-02-14,1.8692
2000-02-15,-4.1284
2000-02-16,-2.6316
2000-02-17,-8.1081
2000-02-18,3.7433
2000-02-22,-1.0309
2000-02-23,-4.6875
2000-02-24,-0.5464
2000-02-25,-0.5495
2000-02-28,-3.8674
2000-02-29,-1.1494
2000-03-01,-2.907
2000-03-02,-5.9879999999999995
2000-03-03,17.1975
2000-03-06,4.8913
2000-03-07,3.6269
2000-03-08,5.5
2000-03-09,-3.3175
2000-03-10,-1.7157
2000-03-13,-2.9925
2000-03-14,0.0
2000-03-15,-1.0283
2000-03-16,-0.7792
2000-03-17,0.0
2000-03-20,1.0471
2000-03-21,-0.7772
2000-03-22,-0.7833
2000-03-23,-6.3158
2000-03-24,2.809
2000-03-27,-8.1967
2000-03-28,-2.3810000000000002
2000-03-29,7.3171
2000-03-30,10.7955
2000-03-31,2.5641
2000-04-03,-4.0
2000-04-04,5.2083
2000-04-05,-4.9505
2000-04-06,2.6042
2000-04-07,1.5228000000000002
2000-04-10,-4.0
2000-04-11,1.5625
2000-04-12,0.5128
2000-04-13,0.5102
2000-04-14,-10.9137
2000-04-17,-13.3903
2000-04-18,5.9211
2000-04-19,-0.9317
2000-04-20,-0.3135
2000-04-24,-3.1447
2000-04-25,4.2208
2000-04-26,20.8723
2000-04-27,2.3196
2000-04-28,8.8161
2000-05-01,2.7778
2000-05-02,-0.9009
2000-05-03,-2.5
2000-05-04,1.6317
2000-05-05,1.8349
2000-05-08,1.8018
2000-05-09,-0.885
2000-05-10,-1.3393
2000-05-11,4.0724
2000-05-12,-3.2609
2000-05-15,-2.0225
2000-05-16,0.2294
2000-05-17,-0.2288
2000-05-18,-1.8349
2000-05-19,-0.4673
