ticker,SUIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-12-18,0.0
2009-12-21,0.0
2009-12-22,0.0
2009-12-23,0.0
2009-12-24,0.0
2009-12-28,3.9326
2009-12-29,-2.3784
2010-01-07,0.7752
2010-01-08,0.5495
2010-01-11,0.0
2010-02-24,-0.5464
2010-02-25,7.1429
2010-02-26,12.8205
2010-03-03,-3.1682
2010-03-04,11.1111
2010-03-05,-3.3333
2010-03-08,-3.4483
2010-03-09,0.0
2010-03-10,3.5714
2010-03-11,4.8276
2010-03-12,9.8684
2010-03-15,-11.3772
2010-03-16,-14.1892
2010-03-17,14.1732
2010-03-18,-3.4483
2010-03-19,-10.7143
2010-03-22,1.6
2010-03-23,-1.5748
2010-03-24,32.0
2010-03-25,-3.0303
2010-03-26,8.125
2010-03-29,-0.578
2010-03-30,-15.1163
2010-03-31,2.0548
2010-04-01,6.7114
2010-04-05,3.7736
2010-04-06,4.2424
2010-04-07,-4.0698
2010-04-08,0.6061
2010-04-09,-6.0241
2010-04-12,-3.2051
2010-04-13,0.6623
2010-04-14,3.9474
2010-04-15,3.1646
2010-04-16,1.227
2010-04-19,-6.0606
2010-04-20,-9.6774
2010-04-21,12.1429
2010-04-22,-1.2739
2010-04-23,-2.5806
2010-04-26,-10.596
2010-04-27,1.4815
2010-04-28,-8.7591
2010-04-29,8.8
2010-04-30,-4.4118
2010-05-03,11.538499999999999
2010-05-04,0.6897
2010-05-05,-14.3836
2010-05-06,-4.0
2010-05-07,0.0
2010-05-10,-4.1667
2010-05-11,2.6087
2010-05-12,-5.9322
2010-05-13,-2.7027
2010-05-14,-0.9259
2010-05-17,-6.5421
2010-05-18,17.0
2010-05-19,4.2735
2010-05-20,-17.2131
2010-05-21,7.9208
2010-05-24,0.9174
2010-05-25,-18.1818
2010-05-26,11.1111
2010-05-27,-5.0
2010-05-28,5.2632
2010-06-01,-8.0
2010-06-02,-3.2609
2010-06-03,11.236
2010-06-04,-34.3434
2010-06-07,7.6923
2010-06-08,0.0
2010-06-09,1.4285999999999999
2010-06-10,5.6338
2010-06-11,0.0
2010-06-14,-6.6667
2010-06-15,2.8571
2010-06-16,0.0
2010-06-17,11.1111
2010-06-18,-17.5
2010-06-21,19.697
2010-06-22,0.0
2010-06-23,-1.2658
2010-06-24,-2.5641
2010-06-25,2.6316
2010-06-28,-7.6923
2010-06-29,-2.7778
2010-06-30,8.5714
2010-07-01,-2.6316
2010-07-02,4.0541
2010-07-06,1.2987
2010-07-07,-5.1282
