ticker,ENKS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,14.8148
2000-01-04,-11.2903
2000-01-05,7.2727
2000-01-06,-25.8475
2000-01-07,-7.1429
2000-01-10,7.6923
2000-01-11,14.2857
2000-01-12,-18.75
2000-01-13,7.6923
2000-01-14,21.4286
2000-01-18,5.8824
2000-01-19,6.6667
2000-01-20,25.0
2000-01-21,0.0
2000-01-24,50.0
2000-01-25,11.1111
2000-01-26,-8.0
2000-01-27,3.2609
2000-01-28,21.0526
2000-01-31,-8.6957
2000-02-01,0.0
2000-02-02,-4.7619
2000-02-03,10.0
2000-02-04,9.0909
2000-02-07,-25.0
2000-02-08,30.5556
2000-02-09,2.1277
2000-02-10,0.0
2000-02-11,-16.6667
2000-02-14,10.0
2000-02-15,9.0909
2000-02-16,-8.3333
2000-02-17,-9.0909
2000-02-18,-10.0
2000-02-22,0.0
2000-02-23,0.0
2000-02-24,0.0
2000-02-25,0.0
2000-02-28,5.5556
2000-02-29,-5.2632
2000-03-01,11.1111
2000-03-02,0.0
2000-03-03,-30.0
2000-03-06,42.8571
2000-03-07,-20.0
2000-03-08,12.5
2000-03-09,-2.7778
2000-03-10,2.8571
2000-03-13,5.5556
2000-03-14,-5.2632
2000-03-15,0.0
2000-03-16,11.1111
2000-03-17,-10.0
2000-03-20,11.1111
2000-03-21,-15.0
2000-03-22,5.8824
2000-03-23,-5.5556
2000-03-24,29.4118
2000-03-27,-9.0909
2000-03-28,10.0
2000-03-29,-4.5455
2000-03-30,-14.2857
2000-03-31,16.6667
2000-04-03,-7.2
2000-04-04,-12.7668
2000-04-05,0.0
2000-04-06,-2.9412000000000003
2000-04-07,-3.0303
2000-04-10,1.0
2000-04-11,-25.7426
2000-04-12,50.0
2000-04-13,-27.7778
2000-04-14,-7.6923
2000-04-17,-8.3333
2000-04-18,9.0909
2000-04-19,16.6667
2000-04-24,0.0
2000-04-25,-14.2857
2000-04-26,0.0
2000-04-28,33.3333
2000-05-01,-37.5
2000-05-02,0.0
2000-05-03,20.0
2000-05-04,16.0
2000-05-05,-28.1609
2000-05-08,0.0
2000-05-09,0.0
2000-05-12,30.0
2000-05-15,0.0
2000-05-16,-1.5385
2000-05-17,-2.3438
2000-05-18,0.0
2000-05-19,-4.0
2000-05-22,-25.0
2000-05-23,0.0
2000-05-26,-11.1111
2000-05-30,12.5
2000-06-01,0.0
2000-06-02,-22.2222
2000-06-05,42.8571
2000-06-06,-20.0
2000-06-08,50.0
2000-06-12,4.1667
