ticker,HGPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,-3.7037
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,1.9231
2000-01-10,1.8868
2000-01-11,0.0
2000-01-12,-1.8519
2000-01-13,-4.717
2000-01-14,2.9703
2000-01-18,-7.6923
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,-10.4167
2000-01-24,-2.3256
2000-01-25,-3.5714
2000-01-26,11.1111
2000-01-27,8.8889
2000-01-28,-19.3878
2000-01-31,10.1266
2000-02-01,-14.9425
2000-02-02,10.8108
2000-02-03,-4.878
2000-02-04,-5.1282
2000-02-07,0.0
2000-02-08,5.4054
2000-02-09,0.0
2000-02-10,-2.5641
2000-02-11,-2.6316
2000-02-14,2.7027
2000-02-15,13.1579
2000-02-16,0.0
2000-02-17,-2.3256
2000-02-18,9.5238
2000-02-22,-4.3478
2000-02-23,9.0909
2000-02-24,8.3333
2000-02-25,-7.6923
2000-02-28,12.5
2000-02-29,0.0
2000-03-01,-3.7037
2000-03-02,0.0
2000-03-03,-7.6923
2000-03-06,0.0
2000-03-08,0.0
2000-03-10,-6.25
2000-03-13,11.1111
2000-03-14,-10.0
2000-03-15,-2.2222
2000-03-16,0.0
2000-03-17,0.0
2000-03-20,0.0
2000-03-22,13.6364
2000-03-24,-4.0
2000-03-28,8.3333
2000-03-29,3.8462
2000-03-30,31.4815
2000-03-31,-1.4085
2000-04-03,0.0
2000-04-04,0.0
2000-04-05,0.0
2000-04-06,8.5714
2000-04-07,0.0
2000-04-10,3.9474
2000-04-11,-8.8608
2000-04-12,0.0
2000-04-13,5.5556
2000-04-14,-7.8947
2000-04-17,2.8571
2000-04-18,0.0
2000-04-19,0.0
2000-04-20,0.0
2000-04-24,0.6944
2000-04-25,2.069
2000-04-26,2.7027
2000-04-27,-7.8947
2000-04-28,0.0
2000-05-02,1.4285999999999999
2000-05-03,0.0
2000-05-04,0.0
2000-05-05,1.4085
2000-05-08,0.0
2000-05-09,1.3889
2000-05-10,0.0
2000-05-11,-7.1918
2000-05-12,3.321
2000-05-15,-7.1429
2000-05-16,-4.6154
2000-05-17,3.2258
2000-05-19,-3.125
2000-05-22,1.6129
2000-05-23,-3.1746
2000-05-24,-13.9344
2000-05-25,6.6667
2000-05-26,-1.7856999999999998
2000-05-30,3.6364
2000-05-31,1.7544
2000-06-01,0.0
2000-06-02,1.7241
2000-06-05,2.5423999999999998
2000-06-07,0.8264
2000-06-08,-1.6393
2000-06-13,3.3333
