ticker,QING US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-04-06,0.0
2009-04-14,0.0
2009-04-20,0.0
2009-04-22,0.0
2009-06-12,500.0
2009-08-05,-16.6667
2009-08-18,0.0
2009-10-19,0.0
2009-12-03,0.0
2010-02-19,60.0
2010-02-22,12.5
2010-03-18,222.2222
2010-03-19,106.8966
2010-03-22,0.0
2010-03-23,-45.0
2010-03-24,0.0
2010-04-13,66.6667
2010-04-15,0.0
2010-04-22,-9.0909
2010-05-04,-50.0
2010-05-06,0.0
2010-05-07,0.0
2010-06-09,-19.2
2010-06-18,46.6813
2010-06-22,-37.5
2010-08-16,-59.0
2010-08-17,1.9512
2010-08-18,2.8708
2010-08-23,6.9767
2010-08-24,-2.1739
2010-10-26,4.4444
2010-10-27,0.0
2010-10-28,0.0
2010-12-21,155.3191
2011-01-21,16.6667
2011-02-16,-14.4286
2011-02-25,33.5559
2011-03-11,-62.5
2011-03-14,-19.3333
2011-03-15,34.2975
2011-03-16,-7.6923
2011-03-17,33.3333
2011-03-18,-25.0
2011-03-21,-33.3333
2011-03-22,20.0
2011-03-23,-44.5833
2011-03-24,-51.1278
2011-03-25,-7.6923
2011-03-28,-25.0
2011-03-29,17.7778
2011-03-30,49.0566
2011-03-31,-5.0633
2011-04-01,-33.3333
2011-04-04,-10.0
2011-04-05,0.0
2011-04-06,0.0
2011-04-07,-11.1111
2011-04-08,0.0
2011-04-11,0.0
2011-04-12,-24.9688
2011-04-13,33.2778
2011-04-14,-0.2813
2011-04-15,5.2961
2011-04-18,-4.7619
2011-04-19,-12.5
2011-04-20,-17.1429
2011-04-21,17.2414
2011-04-25,0.0
2011-04-26,-2.9412000000000003
2011-04-27,-3.0303
2011-04-28,-6.25
2011-04-29,-41.6667
2011-05-02,71.4286
2011-05-03,-36.6667
2011-05-05,57.8947
2011-05-06,-40.0
2011-05-09,0.0694
2011-05-10,33.2408
2011-05-11,4.1667
2011-05-13,-35.04
2011-05-16,0.0
2011-05-17,25.0
2011-05-18,-40.0
2011-05-19,-8.3333
2011-05-20,36.3636
2011-05-23,-13.3333
2011-05-24,-15.3846
2011-05-25,0.0
2011-05-26,0.0
2011-05-27,154.5455
2011-05-31,-11.0714
2011-06-01,0.0
2011-06-02,-19.6787
2011-06-03,0.0
2011-06-06,-16.0
2011-06-07,30.9524
2011-06-08,-9.0909
2011-06-09,10.0
2011-06-13,-27.2727
2011-06-14,-17.5
2011-06-15,57.5758
2011-06-16,-8.6538
2011-06-17,0.0
