ticker,PPBV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-14,-11.7647
2007-12-17,-0.6667
2007-12-18,0.0
2007-12-19,-12.7517
2007-12-21,15.3846
2007-12-24,0.0
2007-12-27,-6.6667
2008-01-04,7.1429
2008-01-07,0.0
2008-01-10,0.0
2008-01-11,0.0
2008-01-14,0.0
2008-01-15,0.0
2008-01-16,3.3333
2008-01-17,-1.2903
2008-01-18,1.3072
2008-01-22,12.9032
2008-01-23,-17.1429
2008-01-24,0.0
2008-01-28,5.5172
2008-01-29,0.0
2008-01-30,-5.2288
2008-01-31,0.6897
2008-02-01,6.8493
2008-02-04,1.2821
2008-02-05,46.8354
2008-02-06,5.1724
2008-02-07,6.3525
2008-02-08,-5.5877
2008-02-11,1.2245
2008-02-12,-0.8065
2008-02-13,2.8455
2008-02-14,-0.3953
2008-02-15,-0.7937
2008-02-19,-6.8
2008-02-20,-6.4378
2008-02-21,8.2569
2008-02-22,-2.5423999999999998
2008-02-25,-2.6087
2008-02-26,4.9107
2008-02-27,-0.4255
2008-02-28,8.547
2008-02-29,1.1811
2008-03-03,2.7237
2008-03-04,-5.303
2008-03-05,1.6
2008-03-06,0.7874
2008-03-07,5.0781
2008-03-10,8.5502
2008-03-11,10.6164
2008-03-12,-0.9288
2008-03-13,-1.5625
2008-03-14,-0.6349
2008-03-17,-5.7508
2008-03-18,-10.8475
2008-03-19,6.4639
2008-03-20,0.0
2008-03-24,0.0357
2008-03-25,2.4634
2008-03-26,-1.3937
2008-03-27,-1.0601
2008-03-28,0.0
2008-03-31,-1.7856999999999998
2008-04-01,3.6364
2008-04-02,-1.0526
2008-04-03,1.4184
2008-04-04,-0.3497
2008-04-07,1.4035
2008-04-08,3.1142
2008-04-09,3.6913
2008-04-10,2.589
2008-04-11,1.2776
2008-04-14,0.9189
2008-04-15,-2.7778
2008-04-16,-2.8571
2008-04-17,-4.5752
2008-04-18,1.0274
2008-04-21,-2.3729
2008-04-22,-4.5139
2008-04-23,-5.4545
2008-04-24,-2.6923
2008-04-25,5.9289
2008-04-28,0.7463
2008-04-29,-0.7407
2008-04-30,1.1194
2008-05-01,0.369
2008-05-02,-1.1029
2008-05-05,1.8587
2008-05-06,0.7299
2008-05-07,-1.4493
2008-05-08,-1.4706000000000001
2008-05-09,1.8657
2008-05-12,-2.1978
2008-05-13,-0.3745
2008-05-14,-0.3759
2008-05-15,2.6414999999999997
2008-05-16,-1.4706000000000001
2008-05-19,-3.7313
2008-05-20,-0.7752
