ticker,HMTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,20.8333
2000-01-04,-17.2414
2000-01-18,-2.0833
2000-01-19,31.9149
2000-01-21,-16.129
2000-01-24,-7.6923
2000-01-26,29.1667
2000-02-04,-22.5806
2000-02-15,0.0
2000-02-22,0.0
2000-02-23,16.6667
2000-03-10,21.4286
2000-03-13,-5.8824
2000-03-22,-25.0
2000-03-23,8.3333
2000-03-24,-3.8462
2000-04-05,-2.0
2000-04-18,0.0
2000-04-19,-18.3673
2000-04-25,20.0
2000-04-27,2.0833
2000-05-01,14.2857
2000-05-03,-5.3571
2000-05-15,1.8868
2000-05-16,-3.7037
2000-05-30,3.8462
2000-06-02,-7.4074
2000-06-12,0.0
2000-06-15,44.0
2000-07-07,0.0
2000-07-26,16.6667
2000-07-28,42.8571
2000-08-02,-33.3333
2000-08-10,50.0
2000-08-14,-40.0
2000-08-17,19.4444
2000-08-29,-20.9302
2000-09-08,27.2189
2000-09-15,6.9767
2000-10-03,0.0
2000-10-09,0.0
2000-11-16,-8.6957
2000-11-22,33.3333
2000-11-24,-32.1429
2000-12-01,0.0
2000-12-07,-0.7937
2000-12-15,0.6667
2000-12-22,-0.6623
2000-12-29,17.3333
2001-01-24,-14.7727
2001-01-25,1.3333
2001-03-01,-4.7368
2001-03-08,2.7778
2001-03-12,0.0
2001-03-14,0.0
2001-03-23,0.0
2001-03-26,0.0
2001-03-28,-1.3514
2001-04-03,2.0548
2001-04-12,4.698
2001-04-18,-7.6923
2001-04-23,25.0
2001-05-23,0.0
2001-05-31,-17.7778
2001-06-20,0.5435
2001-08-17,29.7297
2001-09-17,-17.5
2001-11-02,2.0202
2001-11-05,0.0
2001-11-26,2.4752
2001-12-06,1.4493
2001-12-07,9.5238
2001-12-18,-9.7826
2001-12-19,8.4337
2001-12-27,-4.4444
2002-01-17,-3.7209
2002-01-23,0.4831
2002-01-31,10.5769
2002-02-01,-1.3043
2002-02-04,-8.37
2002-02-07,0.0
2002-02-19,1.9231
2002-02-26,0.4717
2002-03-14,-2.3474
2002-03-28,2.4038
2002-04-03,-3.7559
2002-04-09,0.0
2002-04-23,0.7317
2002-04-25,-0.7264
2002-05-06,0.0
2002-05-10,7.3171
2002-05-14,-6.3636
2002-05-20,6.7961
2002-05-24,-6.8182
2002-05-28,0.0
2002-05-31,-1.4634
2002-06-04,0.0
2002-06-05,0.0
2002-06-14,0.0
2002-06-17,0.0
2002-06-18,3.9604
2002-06-25,-2.3810000000000002
