ticker,PIFR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-01-13,76.0
2006-01-17,47.7273
2006-01-18,23.0769
2006-01-19,8.125
2006-01-20,14.4509
2006-01-23,26.2626
2006-01-24,20.4
2006-01-25,-3.6545
2006-01-26,-6.2069
2006-01-27,-22.0588
2006-01-30,29.717
2006-01-31,1.8182
2006-02-01,-7.1429
2006-02-02,-3.8462
2006-02-03,-8.0
2006-02-06,-13.0435
2006-02-07,-12.5
2006-02-08,25.7143
2006-02-09,-6.8182
2006-02-10,-1.9512
2006-02-13,0.0
2006-02-14,-2.9851
2006-02-15,-5.1282
2006-02-16,-8.1081
2006-02-17,-4.7059
2006-02-21,-24.6914
2006-02-22,-22.1311
2006-02-23,15.7895
2006-02-24,-1.8182
2006-02-27,-12.963
2006-02-28,-2.1277
2006-03-01,-13.0435
2006-03-02,-11.25
2006-03-03,-7.0423
2006-03-06,-9.0909
2006-03-07,0.0
2006-03-08,0.0
2006-03-09,-8.3333
2006-03-10,-7.2727
2006-03-13,-1.9607999999999999
2006-03-14,2.0
2006-03-15,-11.7647
2006-03-16,4.4444
2006-03-17,-8.5106
2006-03-20,4.6512
2006-03-21,6.6667
2006-03-22,25.0
2006-03-23,16.6667
2006-03-24,-14.2857
2006-03-27,15.0
2006-03-28,1.4493
2006-03-29,-25.7143
2006-03-30,1.9231
2006-03-31,-3.7736
2006-04-03,-13.7255
2006-04-04,-2.2727
2006-04-05,-6.9767
2006-04-06,12.5
2006-04-07,-11.1111
2006-04-10,-10.0
2006-04-11,-8.3333
2006-04-12,-27.2727
2006-04-13,8.3333
2006-04-17,-13.461500000000001
2006-04-18,2.2222
2006-04-19,17.3913
2006-04-20,-7.4074
2006-04-21,-4.0
2006-04-24,-8.3333
2006-04-25,0.0
2006-04-26,-18.1818
2006-04-27,-5.5556
2006-04-28,-5.2941
2006-05-01,-6.8323
2006-05-02,-20.0
2006-05-03,-16.6667
2006-05-04,-10.0
2006-05-05,0.0
2006-05-08,0.0
2006-05-09,-2.2222
2006-05-10,-9.0909
2006-05-11,-25.0
2006-05-12,33.3333
2006-05-15,0.0
2006-05-16,-12.5
2006-05-17,14.2857
2006-05-18,-12.5
2006-05-19,0.0
2006-05-22,-12.857099999999999
2006-05-23,-9.8361
2006-05-24,45.4545
2006-05-25,-12.5
2006-05-26,-7.1429
2006-05-30,23.0769
2006-05-31,12.5
2006-06-01,-11.1111
2006-06-02,-25.0
2006-06-05,16.6667
2006-06-06,14.2857
2006-06-07,0.0
