ticker,EZTD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-09-26,241.6667
2003-09-29,70.7317
2003-10-01,-22.8571
2003-10-02,85.1852
2003-10-03,-22.0
2003-10-09,28.2051
2003-10-15,10.0
2003-10-17,0.0
2003-10-23,-9.0909
2003-10-27,2.0
2003-10-30,47.0588
2003-10-31,-46.6667
2003-11-04,25.0
2003-11-06,-20.0
2003-11-20,-12.5
2003-11-24,28.5714
2003-12-08,13.3333
2003-12-09,-1.9607999999999999
2003-12-19,18.0
2003-12-22,15.2542
2004-01-26,10.2941
2004-02-02,-1.3333
2004-02-11,14.8649
2004-02-12,-5.8824
2004-02-13,6.25
2004-02-18,0.0
2004-02-23,14.1176
2004-02-24,-28.866
2004-02-25,14.4928
2004-02-26,-17.7215
2004-02-27,24.6154
2004-03-01,4.9383
2004-03-02,8.2353
2004-03-03,1.087
2004-03-04,5.3763
2004-03-05,0.0
2004-03-08,-1.0204
2004-03-09,-2.0619
2004-03-11,-9.473700000000001
2004-03-12,5.814
2004-03-15,-1.0989
2004-03-16,-4.4444
2004-03-17,3.4884
2004-03-18,-2.2472
2004-03-22,-11.4943
2004-03-23,3.8961
2004-03-24,-6.25
2004-03-26,5.3333
2004-03-29,-8.8608
2004-03-30,6.9444
2004-03-31,0.0
2004-04-01,19.4805
2004-04-02,-1.087
2004-04-05,-1.0989
2004-04-06,2.2222
2004-04-07,-2.1739
2004-04-08,0.0
2004-04-12,-3.3333
2004-04-14,3.4483
2004-04-15,5.5556
2004-04-16,-21.0526
2004-04-19,5.3333
2004-04-20,-7.5949
2004-04-21,2.7397
2004-04-22,-1.3333
2004-04-23,-3.3784
2004-04-27,11.8881
2004-04-28,-1.25
2004-04-29,-10.1266
2004-04-30,-8.4507
2004-05-04,15.3846
2004-05-10,-6.6667
2004-05-11,-2.8571
2004-05-12,-4.4118
2004-05-13,7.6923
2004-05-14,0.0
2004-05-18,-42.8571
2004-05-19,35.0
2004-05-20,0.0
2004-05-21,3.7037
2004-05-25,16.0714
2004-05-27,15.3846
2004-05-28,-20.0
2004-06-01,8.3333
2004-06-02,10.7692
2004-06-04,-30.5556
2004-06-16,20.0
2004-06-17,-16.6667
2004-06-22,-4.0
2004-06-23,20.8333
2004-06-24,8.6207
2004-06-25,11.1111
2004-06-28,2.8571
2004-06-29,-4.1667
2004-07-06,-1.4493
2004-07-12,-11.7647
2004-07-13,-10.0
2004-07-21,20.3704
2004-07-22,9.2308
2004-07-23,-4.2254
2004-07-26,-4.4118
