ticker,CRJI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-27,16.6667
2006-11-16,8.5714
2006-11-22,97.3684
2006-11-24,-13.3333
2006-11-30,13.8462
2006-12-04,-29.7297
2006-12-05,-32.6923
2006-12-14,-42.8571
2006-12-26,0.0
2006-12-29,-25.0
2007-01-03,-53.3333
2007-01-04,-28.5714
2007-01-05,0.0
2007-01-09,0.0
2007-01-25,20.0
2007-02-07,283.3333
2007-02-08,0.0
2007-02-15,4.3478
2007-02-28,-8.3333
2007-03-12,0.0
2007-03-14,0.0
2007-04-16,0.0
2007-04-17,4.5455
2007-04-18,-4.3478
2007-04-23,0.0
2007-05-02,0.0
2007-05-04,2.2727
2007-05-09,77.7778
2007-05-10,0.0
2007-05-15,1.25
2007-05-17,-11.1111
2007-05-21,-1.3889
2007-05-22,0.0
2007-06-08,0.0
2007-07-25,-1.4085
2007-08-06,0.0
2007-08-21,0.0
2007-09-11,-2.8571
2007-09-14,-2.9412000000000003
2007-09-25,-3.0303
2007-10-01,3.125
2007-10-16,51.5152
2007-10-17,14.0
2007-10-19,-29.8246
2007-10-22,0.0
2007-10-25,-12.5
2007-10-26,-8.5714
2007-10-31,0.0
2007-11-08,40.625
2007-11-12,-11.1111
2007-11-19,-12.5
2007-11-20,-14.2857
2007-11-28,16.6667
2007-12-18,0.0
2007-12-19,-28.5714
2007-12-31,24.0
2008-01-02,12.9032
2008-01-04,-11.4286
2008-01-07,45.1613
2008-01-08,0.0
2008-01-09,108.8889
2008-01-10,-30.8511
2008-01-11,7.6923
2008-01-14,-4.0
2008-01-15,1.1905000000000001
2008-01-17,0.0
2008-01-18,1.4706000000000001
2008-01-22,15.942
2008-01-23,1.25
2008-01-24,11.1111
2008-01-25,0.0
2008-01-28,-5.5556
2008-01-29,-5.8824
2008-01-30,2.5
2008-02-01,-8.5366
2008-02-04,0.0
2008-02-05,6.6667
2008-02-06,0.0
2008-02-07,-6.25
2008-02-11,4.0
2008-02-12,-3.8462
2008-02-14,-6.6667
2008-02-19,-14.2857
2008-02-20,16.6667
2008-02-22,0.0
2008-02-29,-10.7143
2008-03-03,-5.6
2008-03-05,30.5085
2008-03-10,-9.0909
2008-03-11,7.1429
2008-03-12,6.6667
2008-03-13,0.0
2008-03-17,-25.0
2008-03-18,16.6667
2008-03-19,-7.1429
2008-03-31,7.6923
2008-04-17,14.2857
2008-04-28,0.0
2008-04-29,15.0
2008-04-30,0.0
2008-05-01,-2.1739
2008-05-05,-5.5556
