ticker,ARME US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-12-21,4.902
2001-01-03,-51.4019
2001-01-05,130.7692
2001-01-08,-15.8333
2001-01-12,23.7624
2001-01-18,-10.0
2001-01-19,11.1111
2001-01-22,-10.0
2001-01-25,4.8889
2001-01-26,10.1695
2001-01-29,0.0
2001-01-30,11.538499999999999
2001-01-31,-3.4483
2001-02-01,3.5714
2001-02-05,2.069
2001-02-08,-15.5405
2001-02-09,0.0
2001-02-12,-16.0
2001-02-13,7.1429
2001-02-14,0.0
2001-02-15,-6.6667
2001-02-16,18.0952
2001-02-20,-19.3548
2001-02-21,1.0
2001-02-22,-3.9604
2001-02-23,-13.4021
2001-02-26,-7.1429
2001-02-27,-3.8462
2001-02-28,-29.3333
2001-03-01,17.9245
2001-03-06,20.0
2001-03-07,-4.0
2001-03-08,-2.7778
2001-03-09,-10.7143
2001-03-12,-18.4
2001-03-13,0.0
2001-03-14,17.647100000000002
2001-03-16,-66.6667
2001-03-19,75.0
2001-03-20,0.0
2001-03-22,-48.5714
2001-03-23,5.5556
2001-03-26,-63.1579
2001-03-27,-14.2857
2001-03-28,50.0
2001-03-29,55.5556
2001-03-30,35.7143
2001-04-03,-21.0526
2001-04-05,-10.0
2001-04-06,3.7037
2001-04-09,42.8571
2001-04-10,0.0
2001-04-11,0.0
2001-04-12,30.0
2001-04-16,-19.2308
2001-04-17,-4.7619
2001-04-19,-10.0
2001-04-20,-27.7778
2001-04-23,15.3846
2001-04-24,13.3333
2001-04-25,-47.0588
2001-04-27,-11.1111
2001-04-30,0.0
2001-05-02,0.0
2001-05-07,25.0
2001-05-08,0.0
2001-05-09,-20.0
2001-05-11,-37.5
2001-05-18,0.0
2001-05-23,40.0
2001-05-25,0.0
2001-05-31,-50.0
2001-06-01,14.2857
2001-06-07,0.0
2001-06-15,50.0
2001-06-18,16.6667
2001-06-19,-7.1429
2001-07-05,38.4615
2001-07-16,-55.5556
2001-07-18,0.0
2001-07-19,-25.0
2001-07-31,-66.6667
2001-08-07,0.0
2001-08-08,0.0
2001-08-17,-40.0
2001-08-21,0.0
2001-11-28,16.6667
2002-01-18,185.7143
2002-01-24,-60.0
2002-02-22,37.5
2002-03-28,-27.2727
2002-05-07,-50.0
2002-05-09,-75.0
2002-06-07,0.0
2002-07-17,0.0
2002-10-14,0.0
2002-10-17,0.0
2002-10-28,0.0
2002-11-26,0.0
2002-12-27,1400.0
2003-01-02,-33.3333
2003-01-08,0.0
2003-01-16,-30.0
