ticker,FDFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-10-08,8.0
2008-10-10,-11.1111
2008-10-13,4.1667
2008-10-15,0.0
2008-10-16,4.0
2008-10-20,-15.3846
2008-10-22,0.0
2008-10-23,4.5455
2008-10-30,8.6957
2008-10-31,4.0
2008-11-05,-3.8462
2008-11-06,4.0
2008-11-11,0.0
2008-11-12,-3.8462
2008-11-13,4.0
2008-11-14,-3.8462
2008-11-21,0.0
2008-11-24,-12.0
2008-12-09,0.0
2008-12-10,-31.8182
2009-02-26,46.6667
2009-03-03,0.0
2009-03-16,-45.4545
2009-03-18,-63.3333
2009-03-19,131.8182
2009-03-20,-80.3922
2009-03-23,30.0
2009-03-24,-42.3077
2009-03-25,-6.6667
2009-03-26,-78.3036
2009-03-27,31.6872
2009-03-30,-35.0
2009-03-31,76.9231
2009-04-01,17.3913
2009-04-02,66.6667
2009-04-03,-22.2222
2009-04-06,-14.2857
2009-04-07,-16.6667
2009-04-08,-4.5
2009-04-09,-7.8534
2009-04-13,-2.2727
2009-04-14,-6.9767
2009-04-15,-25.0
2009-04-16,0.0
2009-04-17,-20.0
2009-04-20,-8.3333
2009-04-21,-7.3864
2009-04-22,-1.8405
2009-04-23,0.0
2009-04-27,-50.0
2009-04-28,20.0
2009-05-01,16.6667
2009-05-06,0.0
2009-05-07,51.7857
2009-05-08,41.1765
2009-05-11,66.6667
2009-05-12,20.0
2009-05-13,-20.0
2009-05-14,0.0
2009-05-18,-16.6667
2009-05-19,0.0
2009-05-20,0.0
2009-05-21,0.0
2009-05-26,0.0
2009-05-28,0.0
2009-05-29,0.0
2009-06-01,-25.0
2009-06-02,-33.3333
2009-06-03,0.0
2009-06-04,100.0
2009-06-08,100.0
2009-06-09,-37.5
2009-06-10,-20.0
2009-06-11,-20.0
2009-06-12,56.25
2009-06-16,-4.0
2009-06-17,-33.3333
2009-06-23,0.0
2009-07-01,-37.5
2009-07-06,-99.8
2009-07-08,0.0
2009-12-11,150.0
2010-04-30,100.0
2010-08-02,900.0
2011-02-10,75.0
2011-04-25,0.0
2011-08-26,0.0
2011-09-12,-70.8571
2011-12-09,-13.7255
2011-12-12,2.2727
2011-12-15,66.6667
2011-12-16,66.6667
2011-12-20,-44.0
2012-01-05,7.1429
2012-01-06,0.0
2012-02-24,-93.3333
2013-06-20,20.0
2013-07-19,-16.6667
2013-08-08,20.0
2013-08-09,-16.6667
2013-08-12,-58.0
2013-08-13,-38.0952
2013-08-14,-30.7692
