ticker,CYCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-03-16,-8.625
2004-03-17,-5.3352
2004-03-18,-1.8931
2004-03-19,4.5809
2004-03-22,-1.4085
2004-03-23,3.5714
2004-03-24,4.6897
2004-03-25,-3.1752
2004-03-26,-1.3335
2004-03-29,-3.3237
2004-03-30,0.0
2004-03-31,6.8474
2004-04-01,-3.8718
2004-04-02,-6.25
2004-04-05,-3.1111
2004-04-06,-3.6696999999999997
2004-04-07,0.6349
2004-04-08,-0.1577
2004-04-12,-5.2133
2004-04-13,2.4833
2004-04-14,0.0
2004-04-15,0.0
2004-04-16,2.7809
2004-04-19,2.8481
2004-04-20,-3.0769
2004-04-21,3.4920999999999998
2004-04-22,-1.9785
2004-04-23,-4.256
2004-04-26,4.2654
2004-04-27,1.8809
2004-04-28,-2.0
2004-04-29,-1.2559
2004-04-30,-2.2258
2004-05-03,2.9268
2004-05-04,-0.1264
2004-05-05,-3.3534
2004-05-06,0.6547
2004-05-07,3.9024
2004-05-10,-5.1643
2004-05-11,-0.9901
2004-05-12,0.0
2004-05-13,0.0
2004-05-14,-0.3333
2004-05-17,-1.3378
2004-05-18,0.0
2004-05-19,0.1695
2004-05-20,-2.7073
2004-05-21,-0.8696
2004-05-24,-1.7544
2004-05-25,0.1786
2004-05-26,3.3868
2004-05-27,-3.4483
2004-05-28,-6.25
2004-06-01,0.0
2004-06-02,8.5714
2004-06-03,-6.6667
2004-06-04,0.9398
2004-06-07,-2.7933
2004-06-08,-2.2989
2004-06-09,-7.8431
2004-06-10,-10.2128
2004-06-14,-2.8436
2004-06-15,3.4146
2004-06-16,-1.4151
2004-06-17,-1.8900000000000001
2004-06-18,-0.0244
2004-06-21,1.2195
2004-06-22,2.4096
2004-06-23,-2.3529
2004-06-24,2.4096
2004-06-25,1.6471
2004-06-28,-4.6296
2004-06-29,12.8641
2004-06-30,-5.3763
2004-07-01,1.5909
2004-07-02,-1.5659999999999998
2004-07-06,-2.0455
2004-07-07,-1.3921000000000001
2004-07-08,-1.1764999999999999
2004-07-09,0.4762
2004-07-12,14.6919
2004-07-13,3.0992
2004-07-14,-7.6152
2004-07-15,7.5922
2004-07-16,-7.2581
2004-07-19,0.0
2004-07-20,4.7826
2004-07-21,-2.4896
2004-07-22,0.2128
2004-07-23,-2.1231
2004-07-26,-8.4599
2004-07-27,7.8199
2004-07-28,-1.3187
2004-07-29,1.5590000000000002
2004-07-30,-0.2193
2004-08-02,-1.7582
2004-08-03,0.4474
