ticker,CHAG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,7900.0
2000-01-05,56.25
2000-01-13,0.0
2000-01-26,100.0
2000-01-27,-75.0
2000-03-02,60.0
2000-03-03,525.0
2000-03-06,-80.0
2000-03-20,0.0
2000-03-27,100.0
2000-03-28,-37.5
2000-04-10,-36.0
2000-04-11,150.0
2000-04-14,-50.0
2000-04-19,100.0
2000-04-24,0.0
2000-04-25,0.0
2000-04-26,-60.0
2000-04-28,56.25
2000-05-02,-20.0
2000-05-03,0.0
2000-05-12,0.0
2000-07-13,60.0
2000-07-14,-37.5
2000-07-26,100.0
2000-07-27,0.0
2000-08-09,-96.0
2000-08-11,1150.0
2000-08-14,100.0
2000-08-15,0.0
2000-08-16,-50.0
2000-08-17,60.0
2000-08-21,25.0
2000-08-28,-99.6
2000-09-05,12400.0
2000-09-06,200.0
2000-09-13,66.6667
2000-09-14,0.0
2000-09-15,-20.0
2000-09-18,100.0
2000-09-19,-50.0
2000-09-20,0.0
2000-09-22,12.5
2000-09-25,-33.3333
2000-09-26,66.6667
2000-09-27,0.0
2000-09-28,0.0
2000-10-02,-10.0
2000-10-05,33.3333
2000-10-06,0.0
2000-10-09,-50.0
2000-10-10,100.0
2000-10-12,0.0
2000-10-13,0.0
2000-10-16,-25.0
2000-10-17,-19.1111
2000-10-18,-12.0879
2000-10-19,-6.25
2000-10-20,20.0
2000-10-23,33.3333
2000-10-24,-6.6667
2000-10-25,7.1429
2000-10-26,-16.6667
2000-10-27,-10.0
2000-10-30,22.2222
2000-10-31,27.2727
2000-11-01,7.1429
2000-11-02,-6.6667
2000-11-03,-4.2857
2000-11-06,11.9403
2000-11-07,-8.3333
2000-11-08,-18.1818
2000-11-09,11.1111
2000-11-10,10.0
2000-11-13,-22.7273
2000-11-14,5.8824
2000-11-15,-7.5556
2000-11-16,-19.2308
2000-11-17,-18.1548
2000-11-20,-1.0909
2000-11-21,-2.9412000000000003
2000-11-22,3.0303
2000-11-24,-11.7647
2000-11-27,-5.0
2000-11-28,-47.3684
2000-11-29,0.0
2000-11-30,20.0
2000-12-01,5.5556
2000-12-04,15.7895
2000-12-05,18.1818
2000-12-06,-5.7692
2000-12-07,-6.1224
2000-12-08,8.6957
2000-12-11,-16.0
2000-12-12,-9.5238
2000-12-13,10.526299999999999
2000-12-14,-14.2857
2000-12-15,-5.5556
2000-12-18,0.0
2000-12-19,-5.8824
2000-12-20,6.25
2000-12-21,11.7647
2000-12-22,26.3158
