ticker,BWOWF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-07-23,0.2805
2008-07-24,-0.979
2008-07-25,0.4237
2008-07-28,-0.2813
2008-07-29,0.4231
2008-07-30,-0.5618
2008-07-31,0.0
2008-08-01,0.4237
2008-08-06,-0.1406
2008-08-07,0.2817
2008-08-08,0.0
2008-08-11,0.4213
2008-08-13,0.0
2008-08-19,0.0
2008-08-22,0.5594
2008-08-25,1.1127
2008-08-28,0.0
2008-08-29,0.6878
2008-09-02,1.0929
2008-09-03,-0.4054
2008-09-09,1.6282
2008-09-10,-1.6021
2008-09-11,-2.8494
2008-09-15,0.2793
2008-09-16,-0.2786
2008-09-18,-0.1397
2008-09-22,0.0
2008-09-23,-0.6993
2008-09-24,-0.7042
2008-09-25,-0.7092
2008-09-29,-0.7143
2008-10-01,-0.7194
2008-10-03,0.0
2008-10-06,-7.2464
2008-10-08,0.7812
2008-10-10,-3.1008
2008-10-13,-0.32
2008-10-14,0.321
2008-10-17,1.6
2008-10-27,0.0
2008-10-28,0.7874
2008-10-30,0.7812
2008-10-31,0.3101
2008-11-03,1.2365
2008-11-05,0.0
2008-11-11,-0.7634
2008-11-17,2.6154
2008-11-19,1.9489999999999998
2008-11-20,-2.2059
2008-11-21,0.0
2008-11-24,0.7519
2008-11-25,0.0
2008-11-26,0.7463
2008-12-02,-0.4444
2008-12-05,0.0
2008-12-10,0.4464
2008-12-12,-1.4815
2008-12-15,0.0
2008-12-17,0.9023
2008-12-31,0.0
2009-01-05,1.3413
2009-01-08,2.3529
2009-01-09,4.1667
2009-01-21,-3.4483
2009-01-22,0.7143
2009-01-23,-0.7092
2009-01-26,1.0
2009-02-04,1.2730000000000001
2009-02-05,0.0
2009-02-06,1.2570000000000001
2009-02-12,0.0
2009-02-17,0.0
2009-02-18,0.0
2009-02-19,0.2759
2009-02-20,-0.9629
2009-02-23,0.6944
2009-02-25,0.0
2009-03-09,-0.4138
2009-03-16,0.554
2009-03-24,0.0
2009-03-27,0.4132
2009-03-31,-1.9203999999999999
2009-04-07,1.3986
2009-04-14,0.0
2009-04-15,0.0
2009-04-20,0.4138
2009-04-24,0.2747
2009-05-04,0.0
2009-05-05,0.0
2009-05-06,0.411
2009-05-12,0.0
2009-05-20,0.955
2009-05-21,1.3514
2009-05-22,0.6667
2009-06-17,0.6623
2009-06-24,0.2632
2009-07-02,-1.5748
2009-07-07,0.0
2009-07-13,0.0
2009-07-21,0.6667
2009-07-24,0.0
2009-07-28,0.0
