ticker,MUEL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-06,7.3593
2000-01-07,-8.871
2000-01-11,0.0
2000-01-12,0.0
2000-01-18,-1.7699
2000-01-20,0.9009
2000-01-24,-0.4464
2000-01-25,0.4484
2000-01-27,1.7856999999999998
2000-01-28,0.0
2000-01-31,4.386
2000-02-01,-5.8824
2000-02-04,0.0
2000-02-09,-1.7856999999999998
2000-02-10,1.8182
2000-02-11,-1.7856999999999998
2000-02-14,6.3636
2000-02-15,4.2735
2000-02-16,-6.2295
2000-02-17,0.0
2000-02-18,-3.5714
2000-02-22,0.0
2000-02-24,0.0
2000-02-29,3.7037
2000-03-01,-3.5714
2000-03-02,8.3333
2000-03-03,-4.2735
2000-03-06,-3.125
2000-03-07,-0.4608
2000-03-08,3.7037
2000-03-09,0.8929
2000-03-10,4.4248
2000-03-14,-5.0847
2000-03-16,3.5714
2000-03-20,0.8621
2000-03-22,-11.1111
2000-03-23,0.0
2000-03-24,2.1635
2000-03-28,0.0
2000-03-30,1.6471
2000-03-31,0.0
2000-04-04,-1.8519
2000-04-05,1.8277999999999999
2000-04-06,3.7058
2000-04-07,-7.091
2000-04-10,0.0
2000-04-11,0.0
2000-04-12,0.0
2000-04-14,-1.9231
2000-04-18,1.9607999999999999
2000-04-19,3.8462
2000-04-27,-1.8519
2000-04-28,3.3019
2000-05-02,-13.242
2000-05-04,14.7368
2000-05-05,-6.422
2000-05-08,12.7451
2000-05-16,-7.6377
2000-05-18,-1.6827
2000-05-19,3.6675
2000-05-22,-3.7736
2000-05-24,-8.3333
2000-05-25,11.2299
2000-05-30,-13.9423
2000-05-31,7.2626
2000-06-01,9.375
2000-06-05,-10.4762
2000-06-06,10.6383
2000-06-13,0.0
2000-06-14,0.0
2000-06-15,-3.8462
2000-06-16,3.0
2000-06-19,12.6214
2000-06-20,-8.5668
2000-06-30,-5.716
2000-07-03,0.0
2000-07-05,4.0
2000-07-06,-7.6923
2000-07-07,0.5208
2000-07-10,-1.5544
2000-07-12,0.7895
2000-07-18,1.3054999999999999
2000-07-19,-1.2887
2000-07-24,12.7937
2000-07-26,0.0
2000-07-27,-1.8519
2000-07-28,1.8868
2000-07-31,-1.8519
2000-08-02,1.8868
2000-08-03,0.0
2000-08-07,-7.4074
2000-08-08,4.0
2000-08-14,10.5769
2000-08-16,-13.913
2000-08-17,1.9192
2000-08-18,5.5838
2000-08-22,1.9231
2000-08-23,-1.8868
2000-08-25,7.6923
2000-08-29,-1.7856999999999998
