ticker,VNLEF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-20,8.3471
2010-04-22,-4.8055
2010-04-23,43.4896
2010-04-26,27.1534
2010-04-27,-22.7053
2010-04-28,13.693200000000001
2010-04-29,0.3498
2010-04-30,-11.0558
2010-05-03,-1.1758
2010-05-04,-9.8938
2010-05-05,-1.7842
2010-05-06,-2.9449
2010-05-07,21.7266
2010-05-10,8.3791
2010-05-11,12.45
2010-05-12,-10.9993
2010-05-13,7.3003
2010-05-14,-16.657
2010-05-17,-5.7891
2010-05-18,2.1348
2010-05-20,-13.3972
2010-05-21,-7.2823
2010-05-25,1.184
2010-05-27,20.1965
2010-06-01,0.3344
2010-06-02,4.2515
2010-06-03,1.9538
2010-06-07,-9.7073
2010-06-08,11.1986
2010-06-09,1.9781
2010-06-14,-7.7656
2010-06-15,6.0213
2010-06-16,-9.2567
2010-06-21,-2.3777
2010-06-22,-1.697
2010-06-24,1.2788
2010-06-25,-6.7551
2010-06-28,-0.1354
2010-06-29,-14.7119
2010-07-02,-3.8156
2010-07-06,5.7025
2010-07-12,-2.6875999999999998
2010-07-13,-5.5941
2010-07-14,-1.8723
2010-07-16,-0.3794
2010-07-19,3.4062
2010-07-20,1.7048999999999999
2010-07-22,-5.298
2010-07-27,-16.5428
2010-07-28,-4.4776
2010-07-29,-1.3158
2010-07-30,24.1111
2010-08-03,-8.1692
2010-08-04,19.814799999999998
2010-08-06,-6.0008
2010-08-09,3.7871
2010-08-10,-7.4229
2010-08-11,-0.5405
2010-08-12,-5.4348
2010-08-16,-3.8314
2010-08-19,2.6145
2010-08-26,-16.2339
2010-08-31,16.1501
2010-09-03,0.7233
2010-09-07,-13.8294
2010-09-08,32.0259
2010-09-10,1.6324
2010-09-13,15.4085
2010-09-14,-2.3195
2010-09-15,-9.09
2010-09-16,-6.4884
2010-09-17,4.9609
2010-09-20,-1.7884
2010-09-22,0.2385
2010-09-23,-0.692
2010-09-24,-4.1594
2010-09-27,-0.1136
2010-09-28,1.0578
2010-09-29,3.9955
2010-10-01,10.5952
2010-10-04,0.2055
2010-10-06,-9.375
2010-10-07,-0.6358
2010-10-08,15.6491
2010-10-12,0.075
2010-10-13,-9.5671
2010-10-15,-0.6113
2010-10-18,7.7043
2010-10-19,-0.2613
2010-10-20,-0.5144
2010-10-26,-7.8822
2010-10-27,2.7004
2010-10-28,5.8363
2010-11-04,-7.6383
2010-11-08,-0.4219
2010-11-09,2.9343
2010-11-10,1.1835
2010-11-12,-4.0683
