ticker,SPMI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-09-26,120.0
2003-09-29,127.2727
2003-10-02,40.0
2003-10-03,85.7143
2003-10-06,-15.3846
2003-10-07,-7.2727
2003-10-08,-60.7843
2003-10-09,0.0
2003-10-10,90.0
2003-10-16,-7.8947
2003-10-22,-5.7143
2003-10-23,-9.0909
2003-10-28,10.0
2003-11-04,-9.0909
2003-11-05,20.0
2003-11-06,-2.7778
2003-11-12,-8.5714
2003-11-20,3.125
2003-11-28,-18.1818
2003-12-10,-7.4074
2003-12-16,60.0
2003-12-18,0.0
2004-01-05,0.0
2004-01-07,12.5
2004-01-08,0.0
2004-01-14,66.6667
2004-01-22,0.0
2004-01-23,20.0
2004-01-26,-33.3333
2004-01-27,75.0
2004-02-02,0.9524
2004-02-04,-4.717
2004-02-06,18.8119
2004-02-09,-8.3333
2004-02-11,-9.0909
2004-02-12,25.0
2004-02-17,0.0
2004-02-18,0.0
2004-02-24,-36.0
2004-02-26,26.25
2004-03-05,23.7624
2004-03-10,-44.0
2004-03-11,0.0
2004-03-12,21.4286
2004-03-16,-23.5294
2004-03-17,15.3846
2004-03-18,-20.0
2004-03-19,5.0
2004-03-24,1.5873
2004-03-26,48.4375
2004-03-29,-32.6316
2004-03-30,0.0
2004-04-01,-6.25
2004-04-02,2.6667
2004-04-06,-2.5974
2004-04-07,25.0
2004-04-13,4.0
2004-04-22,-8.9744
2004-04-28,-18.3099
2004-05-04,1.7241
2004-05-06,1.6949
2004-05-07,0.0
2004-05-11,0.0
2004-05-18,0.0
2004-05-26,16.6667
2004-06-10,12.857099999999999
2004-06-17,-21.519
2004-06-21,-3.2258
2004-06-23,0.0
2004-06-24,0.0
2004-06-25,0.0
2004-06-28,-11.6667
2004-07-01,13.2075
2004-07-07,-6.6667
2004-07-08,-1.7856999999999998
2004-07-09,18.1818
2004-07-13,-7.6923
2004-07-14,-8.3333
2004-07-15,0.0
2004-07-16,0.0
2004-07-19,7.2727
2004-07-20,1.6949
2004-07-21,5.0
2004-07-27,0.0
2004-07-28,1.5873
2004-08-10,-14.0625
2004-08-12,0.0
2004-08-18,0.0
2004-08-27,9.0909
2004-09-03,0.0
2004-09-07,6.6667
2004-09-08,-6.25
2004-09-15,0.0
2004-09-16,0.0
2004-09-29,-15.0
2004-09-30,1.9607999999999999
2004-10-01,-3.8462
2004-10-08,-16.0
2004-10-12,-38.0952
2004-10-13,-15.3846
2004-10-15,0.0
2004-10-21,45.4545
2004-10-22,0.0
