ticker,BTSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-28,0.0
2000-06-26,-48.0
2000-12-07,0.0
2001-01-24,669.2308
2001-01-25,0.0
2001-02-27,-0.7813
2002-06-06,-96.9764
2002-06-11,25.0
2002-06-13,0.0
2002-07-01,-33.3333
2002-07-18,-60.0
2002-10-03,700.0
2002-11-13,50.0
2002-11-18,-58.3333
2003-02-19,-68.0
2004-04-05,-75.0
2004-04-13,3900.0
2004-04-14,0.0
2004-04-15,0.0
2004-04-16,12.5
2004-04-19,13.3333
2004-04-20,-39.2157
2004-04-21,-3.871
2004-04-22,-31.5436
2004-04-23,-1.9607999999999999
2004-04-26,15.0
2004-04-27,13.0435
2004-04-28,-7.6923
2004-04-29,33.3333
2004-04-30,0.0
2004-05-05,12.5
2004-05-06,-1.6667
2004-05-07,-2.2599
2004-05-10,-4.6243
2004-05-11,3.0303
2004-05-12,-5.8824
2004-05-13,-18.75
2004-05-14,-11.538499999999999
2004-05-18,4.3478
2004-05-19,4.1667
2004-05-20,-4.0
2004-05-21,0.0
2004-05-24,0.0
2004-05-25,-6.6667
2004-05-26,-1.7856999999999998
2004-05-27,-9.0909
2004-05-28,-15.0
2004-06-01,-23.5294
2004-06-02,-7.6923
2004-06-03,16.6667
2004-06-04,7.1429
2004-06-07,-20.0
2004-06-08,8.3333
2004-06-09,-7.6923
2004-06-10,5.0
2004-06-14,-14.2857
2004-06-15,-3.7037
2004-06-16,0.0
2004-06-17,0.0
2004-06-18,-5.7692
2004-06-21,-10.2041
2004-06-22,-25.0
2004-06-23,-27.2727
2004-06-24,-4.1667
2004-06-25,8.6957
2004-06-28,12.0
2004-06-29,3.5714
2004-06-30,-27.5862
2004-07-01,4.7619
2004-07-02,-9.0909
2004-07-06,0.0
2004-07-07,5.0
2004-07-08,-14.2857
2004-07-09,5.5556
2004-07-12,-7.8947
2004-07-13,-25.7143
2004-07-14,0.0
2004-07-15,-7.6923
2004-07-16,8.3333
2004-07-19,-26.9231
2004-07-20,13.1579
2004-07-21,16.2791
2004-07-22,20.0
2004-07-23,13.3333
2004-07-26,-11.7647
2004-07-27,26.6667
2004-07-28,-26.3158
2004-07-29,7.1429
2004-07-30,13.3333
2004-08-02,-5.8824
2004-08-03,-6.25
2004-08-04,0.0
2004-08-05,6.6667
2004-08-06,6.25
2004-08-09,-5.8824
2004-08-10,-3.125
2004-08-11,-9.6774
2004-08-12,14.2857
2004-08-13,-6.25
2004-08-16,-6.6667
2004-08-17,-32.1429
