ticker,FRTN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,11.538499999999999
2000-01-04,24.1379
2000-01-05,-11.1111
2000-01-06,-6.25
2000-01-07,-3.3333
2000-01-11,0.0
2000-01-13,13.7931
2000-01-14,-3.0303
2000-01-20,-12.5
2000-01-24,0.0
2000-01-26,-1.7856999999999998
2000-01-27,30.9091
2000-01-28,0.0
2000-02-01,-13.8889
2000-02-02,0.0
2000-02-08,-6.4516
2000-02-09,3.4483
2000-02-11,-10.0
2000-02-15,3.7037
2000-02-16,12.5
2000-02-18,-11.1111
2000-02-22,-3.5714
2000-02-24,3.7037
2000-02-28,7.1429
2000-03-02,5.0
2000-03-06,-7.9365
2000-03-07,0.0
2000-03-08,1.7241
2000-03-09,-8.4746
2000-03-13,3.7037
2000-03-14,12.5
2000-03-16,-11.1111
2000-03-22,3.5714
2000-03-24,0.0
2000-03-27,0.0
2000-03-28,4.3103
2000-04-05,-7.438
2000-04-06,-3.5714
2000-04-10,-11.1111
2000-04-11,8.3333
2000-04-12,-3.8462
2000-04-13,2.0
2000-04-14,1.9607999999999999
2000-04-17,11.538499999999999
2000-04-18,-13.7931
2000-04-19,16.0
2000-04-26,-13.7931
2000-05-03,8.0
2000-05-05,-3.7037
2000-05-16,3.8462
2000-05-26,-7.4074
2000-05-30,-4.0
2000-05-31,-12.5
2000-06-14,14.2857
2000-06-22,-12.5
2000-06-23,4.7619
2000-06-27,9.0909
2000-06-28,8.3333
2000-06-29,-1.9231
2000-07-10,1.9607999999999999
2000-07-14,-19.2308
2000-07-28,0.0
2000-08-04,0.0
2000-08-07,0.0
2000-08-11,-9.5238
2000-09-05,2.6316
2000-09-07,-7.6923
2000-09-12,2.7778
2000-09-20,-2.7027
2000-10-02,0.0
2000-10-11,-5.5556
2000-10-13,0.0
2000-10-18,-2.9412000000000003
2000-10-19,-3.0303
2000-10-30,18.75
2000-11-13,-21.0526
2000-11-15,-13.3333
2000-11-16,-9.6154
2000-11-17,-23.4043
2000-11-22,11.1111
2000-11-24,0.0
2000-11-27,0.0
2000-11-29,-20.0
2000-11-30,0.0
2000-12-05,0.0
2000-12-06,0.0
2000-12-08,0.0
2000-12-14,0.0
2000-12-18,-25.0
2000-12-19,66.6667
2000-12-20,0.0
2000-12-22,-10.0
2000-12-26,11.1111
2000-12-28,-40.0
2000-12-29,16.6667
2001-01-11,42.8571
2001-01-17,-20.0
2001-01-22,-25.0
2001-01-24,383.3333
2001-01-25,-44.8276
2001-01-26,25.0
