ticker,RUSHA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-07-12,-0.8333
2002-07-15,-13.4454
2002-07-16,0.3883
2002-07-17,0.0
2002-07-18,-0.3868
2002-07-19,-3.6893000000000002
2002-07-22,2.8226
2002-07-23,-0.9804
2002-07-24,-1.9802
2002-07-25,-14.1414
2002-07-26,2.3529
2002-07-29,-2.6667
2002-07-30,1.4643
2002-07-31,-9.2179
2002-08-01,5.1282
2002-08-02,-9.7561
2002-08-05,0.0
2002-08-06,4.0541
2002-08-07,2.5974
2002-08-09,-7.5949
2002-08-12,0.8219
2002-08-13,-0.8152
2002-08-15,0.0
2002-08-16,-2.7397
2002-08-19,2.8169
2002-08-20,-5.2055
2002-08-21,-0.7225
2002-08-22,6.2882
2002-08-23,4.0811
2002-08-26,-2.6316
2002-08-30,2.7027
2002-09-03,-1.3158
2002-09-06,0.0
2002-09-09,1.3333
2002-09-10,5.2632
2002-09-12,6.25
2002-09-13,1.1529
2002-09-16,-5.792
2002-09-17,-1.2346
2002-09-18,0.0
2002-09-19,0.0
2002-09-20,-2.5
2002-09-23,2.5641
2002-09-25,-3.0
2002-09-26,-1.5464
2002-09-27,8.6387
2002-09-30,-3.6145
2002-10-01,0.0
2002-10-02,-6.25
2002-10-03,4.0
2002-10-04,-5.1282
2002-10-07,4.0541
2002-10-08,1.2987
2002-10-09,-1.2821
2002-10-10,-1.3247
2002-10-11,0.5528
2002-10-14,4.712
2002-10-15,-1.25
2002-10-16,1.2658
2002-10-17,0.0
2002-10-18,-0.5
2002-10-21,-0.2513
2002-10-22,0.7557
2002-10-23,-0.5
2002-10-24,0.0
2002-10-25,0.0
2002-10-28,0.5025
2002-10-31,2.25
2002-11-01,-0.7335
2002-11-04,-0.2463
2002-11-05,0.0
2002-11-06,0.0
2002-11-07,0.0
2002-11-11,0.0
2002-11-12,0.0
2002-11-14,0.0
2002-11-15,0.0
2002-11-18,0.0
2002-11-19,0.716
2002-11-20,-0.711
2002-11-21,0.0
2002-11-22,0.0
2002-11-25,0.0
2002-11-26,0.0
2002-11-27,0.0
2002-11-29,2.4691
2002-12-02,-2.1687
2002-12-03,0.2463
2002-12-04,-0.2457
2002-12-05,-0.2463
2002-12-06,0.4938
2002-12-09,-0.2457
2002-12-11,0.0
2002-12-12,-0.2463
2002-12-13,-1.2346
2002-12-16,0.0
2002-12-17,-3.5
2002-12-20,-2.5907
2002-12-23,1.8617
2002-12-26,-2.2977
2002-12-27,0.2138
2002-12-30,0.0
