ticker,PEDH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-10-13,0.0
2004-11-08,166.6667
2004-12-03,-1.25
2004-12-10,1.2658
2004-12-14,0.0
2004-12-17,-12.5
2004-12-22,0.0
2004-12-28,-10.7143
2005-01-25,-2.4
2005-01-28,4.918
2005-02-02,-3.125
2005-02-18,-7.2581
2005-02-25,1.7391
2005-03-04,0.0
2005-03-07,11.1111
2005-03-09,-8.461500000000001
2005-03-17,2.521
2005-03-18,-0.8197
2005-03-21,7.438
2005-04-07,-0.7692
2005-04-13,7.7519
2005-04-19,-4.3165
2005-05-24,27.8195
2005-05-27,-17.647100000000002
2005-05-31,0.1429
2005-06-01,6.99
2005-06-02,-1.3333
2005-06-03,-1.3514
2005-06-06,4.7123
2005-06-07,-3.0612
2005-06-08,-0.135
2005-06-09,4.0541
2005-06-10,-5.8442
2005-06-13,3.4483
2005-06-14,3.3333
2005-06-15,6.5806000000000004
2005-06-16,3.862
2005-06-17,4.9073
2005-06-20,0.1111
2005-06-21,-4.5504999999999995
2005-06-22,-4.4186
2005-06-24,-2.6764
2005-06-27,-0.25
2005-06-29,-2.2556
2005-06-30,0.0
2005-07-01,2.5641
2005-07-05,0.0
2005-07-06,0.0
2005-07-07,0.0
2005-07-08,-2.25
2005-07-11,2.3018
2005-07-13,-3.75
2005-07-14,4.026
2005-07-19,-0.1248
2005-07-20,-6.25
2005-07-22,13.3333
2005-07-26,-11.7647
2005-07-27,6.6667
2005-07-28,-7.5
2005-08-01,1.0811
2005-08-02,-3.242
2005-08-03,0.5043
2005-08-04,-1.0173
2005-08-05,1.3889
2005-08-08,1.3699
2005-08-09,-1.3514
2005-08-11,0.0
2005-08-12,0.0
2005-08-16,-3.4247
2005-08-17,1.4184
2005-08-18,-2.0979
2005-08-19,-2.8571
2005-08-23,0.0
2005-08-25,-2.0588
2005-08-29,-3.003
2005-08-30,-10.2167
2005-09-07,1.7241
2005-09-08,-10.4407
2005-09-09,-5.3747
2005-09-12,0.0
2005-09-14,0.0
2005-09-15,0.2
2005-09-19,-4.1916
2005-09-21,6.25
2005-09-26,2.3529
2005-09-27,-1.341
2005-09-28,-2.9126
2005-09-30,4.0
2005-10-04,0.9615
2005-10-06,-4.7619
2005-10-13,0.0
2005-10-14,0.0
2005-10-18,2.0
2005-10-19,-1.9607999999999999
2005-10-21,0.0
2005-10-24,-1.6
2005-10-25,1.626
2005-10-27,0.0
2005-10-28,2.0
2005-11-02,-1.9607999999999999
2005-11-03,10.0
