ticker,PLX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-18,-85.7143
2000-01-19,500.0
2000-01-20,-33.3333
2000-01-21,0.0
2000-02-16,-25.0
2000-02-17,0.0
2000-03-20,-41.6667
2000-03-24,-42.8571
2000-03-29,0.0
2000-04-03,100.0
2000-04-04,-62.5
2000-04-07,166.6667
2000-04-10,0.0
2000-04-11,0.0
2000-04-14,50.0
2000-05-16,-33.0667
2000-05-19,-75.0996
2000-05-22,0.0
2000-06-06,100.0
2000-06-16,25.0
2000-07-20,220.0
2000-07-24,87.5
2000-08-09,-66.6667
2000-08-14,10.0
2000-09-13,-27.2727
2000-09-14,0.0
2000-09-25,0.0
2000-09-27,100.0
2000-09-28,-50.0
2000-10-06,0.0
2000-10-10,-25.0
2000-10-25,33.3333
2000-10-27,0.0
2000-11-02,0.0
2000-11-03,-37.5
2000-11-10,0.0
2000-11-20,0.0
2000-11-28,0.0
2000-11-29,0.0
2000-11-30,0.0
2000-12-04,0.0
2000-12-05,0.0
2000-12-08,20.0
2000-12-12,0.0
2000-12-14,0.0
2000-12-15,0.0
2000-12-26,0.0
2000-12-27,0.0
2000-12-28,0.0
2000-12-29,0.0
2001-01-05,0.0
2001-01-09,0.0
2001-01-10,0.0
2001-01-31,0.0
2001-02-05,0.0
2001-02-12,0.0
2001-02-14,12.0
2001-03-01,4.1667
2001-03-20,-28.5714
2001-04-27,-4.0
2001-04-30,0.0
2001-05-22,46.6667
2001-05-23,81.8182
2001-05-24,0.0
2001-06-01,0.0
2001-06-06,0.0
2001-06-08,-6.25
2001-06-11,-6.6667
2001-06-14,-25.7143
2001-06-29,34.6154
2001-07-18,-22.8571
2001-08-24,11.1111
2001-10-03,3.3333
2001-10-16,0.0
2001-11-05,-19.3548
2001-12-11,20.0
2001-12-14,16.6667
2001-12-17,-34.2857
2001-12-18,0.0
2001-12-28,0.0
2002-01-16,0.0
2002-03-12,65.2174
2002-06-05,-39.4737
2002-06-07,0.0
2002-09-18,-30.4348
2002-10-03,0.0
2002-10-10,0.0
2002-10-21,-31.25
2002-10-31,0.0
2002-11-19,0.0
2002-12-11,0.0
2002-12-13,0.0
2002-12-24,0.0
2002-12-30,0.0
2003-02-03,0.0
2003-02-06,0.0
2003-02-24,36.3636
2003-04-22,0.0
2003-04-23,66.6667
2003-05-29,-40.0
2003-06-12,100.0
2003-07-03,0.0
2003-08-08,-46.6667
2003-08-29,6.25
2003-09-15,76.4706
2003-09-24,-40.0
2003-10-20,0.0
