ticker,AMHFF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-05,17.647100000000002
2000-01-06,35.0
2000-01-12,-22.2222
2000-01-18,30.9524
2000-01-24,-1.8182
2000-01-25,5.5556
2000-02-01,12.2807
2000-02-02,81.25
2000-02-07,3.4483
2000-02-08,-34.1667
2000-02-09,26.5823
2000-02-10,23.0
2000-02-11,42.2764
2000-02-14,-3.4286
2000-02-15,-30.1775
2000-02-16,3.3898
2000-02-24,16.3934
2000-02-29,-35.2113
2000-03-02,13.0435
2000-03-07,-17.3077
2000-03-08,16.2791
2000-03-09,-6.0
2000-03-24,-36.1702
2000-04-03,36.6667
2000-04-04,-19.5122
2000-04-05,1.5152
2000-04-11,17.9104
2000-07-12,-17.7215
2000-08-15,6515.3846
2000-08-17,-99.0465
2000-09-12,12.1951
2000-09-14,0.0
2000-09-18,0.0
2000-09-26,-13.0435
2000-10-03,15.0
2000-10-05,52.1739
2000-10-11,-34.2857
2000-10-12,0.0
2000-10-18,-4.3478
2000-11-07,0.0
2000-11-20,-45.4545
2000-12-12,8.3333
2000-12-15,0.0
2000-12-18,-15.3846
2000-12-19,18.1818
2000-12-20,0.0
2000-12-27,-23.0769
2000-12-28,0.0
2000-12-29,10.0
2001-01-01,0.0
2001-02-07,-9.0909
2001-05-07,20.0
2001-05-15,-45.8333
2001-05-29,61.5385
2001-06-01,-42.8571
2001-06-13,-8.3333
2001-07-12,-36.3636
2001-08-30,14.2857
2001-09-06,-35.7813
2001-12-13,-22.1411
2001-12-14,25.0
2001-12-31,0.0
2002-02-19,50.0
2002-02-20,-6.6667
2002-03-11,0.0
2002-04-17,14.2857
2002-05-24,-12.5
2002-06-26,-14.2857
2004-06-30,93.5417
2004-07-14,33.4769
2004-07-21,-9.6774
2004-08-09,32.1429
2004-08-13,13.5135
2004-08-19,26.1905
2004-08-31,5.6604
2004-09-20,25.0
2004-10-26,-17.1429
2004-11-11,6.8966
2004-11-18,-1.2903
2004-12-03,4.5752
2004-12-08,-28.125
2004-12-09,21.7391
2004-12-21,0.0
2004-12-29,0.0
2004-12-30,-1.7856999999999998
2005-03-02,13.0455
2005-03-11,-9.9316
2005-03-22,0.0
2005-03-23,0.7143
2005-04-27,-3.9007
2005-04-28,-0.369
2005-05-11,-7.4074
2005-05-16,1.2
2005-06-15,18.9723
2005-06-20,-23.588
2005-06-22,-99.9457
2005-06-27,195400.0
2005-08-02,59.5908
2005-08-03,-2.5641
2005-08-04,-0.7895
2005-08-10,0.0
