ticker,HYDI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-10,45.4545
2000-01-11,-25.0
2000-01-19,-16.6667
2000-01-20,0.0
2000-01-21,0.0
2000-01-24,60.0
2000-01-28,-25.0
2000-02-01,33.3333
2000-02-02,-25.0
2000-02-03,33.3333
2000-02-07,-25.0
2000-02-08,0.0
2000-02-09,50.0
2000-02-10,11.1111
2000-02-11,-15.0
2000-02-14,-29.4118
2000-02-16,0.0
2000-02-17,33.3333
2000-02-18,0.0
2000-02-22,37.5
2000-02-23,-36.3636
2000-02-24,42.8571
2000-02-25,10.0
2000-02-28,0.0
2000-02-29,0.0
2000-03-01,-27.2727
2000-03-02,25.0
2000-03-03,10.0
2000-03-07,4.5455
2000-03-08,56.5217
2000-03-09,-5.5556
2000-03-10,52.9412
2000-03-13,-21.1538
2000-03-14,-2.439
2000-03-15,-10.0
2000-03-16,44.4444
2000-03-17,-7.6923
2000-03-20,2.0833
2000-03-21,-18.3673
2000-03-22,-10.0
2000-03-23,36.1111
2000-03-24,-26.5306
2000-03-28,-5.5556
2000-03-29,-11.7647
2000-03-30,-6.6667
2000-03-31,28.5714
2000-04-03,16.6667
2000-04-04,-21.4286
2000-04-05,0.0
2000-04-06,45.4545
2000-04-07,0.0
2000-04-10,-16.6667
2000-04-11,-17.5
2000-04-12,3.0303
2000-04-14,-8.8235
2000-04-17,-15.7419
2000-04-18,-19.6018
2000-04-19,14.2857
2000-04-20,0.0
2000-04-24,-4.1667
2000-04-25,0.0
2000-04-27,-13.0435
2000-05-01,0.0
2000-05-02,-15.0
2000-05-04,41.1765
2000-05-05,-33.3333
2000-05-09,12.5
2000-05-10,-13.8889
2000-05-11,41.9355
2000-05-12,-18.1818
2000-05-16,-5.5556
2000-05-18,11.7647
2000-05-19,-15.7895
2000-05-22,0.0
2000-05-23,-6.25
2000-05-24,-6.6667
2000-05-25,0.0
2000-05-26,-14.2857
2000-05-30,16.6667
2000-05-31,-32.1429
2000-06-01,-5.2632
2000-06-02,0.0
2000-06-05,0.0
2000-06-13,0.0
2000-06-14,55.5556
2000-06-15,7.1429
2000-06-19,-6.6667
2000-06-29,-28.0
2000-07-06,-10.7143
2000-07-07,0.0
2000-07-10,55.5556
2000-07-11,17.8571
2000-07-13,15.1515
2000-07-14,42.1053
2000-07-17,-3.7037
2000-07-19,15.3846
2000-07-20,-6.6667
2000-07-21,-3.5714
2000-08-01,-22.2222
2000-08-04,14.2857
2000-08-09,31.25
2000-08-10,-4.7619
