ticker,SYBF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-15,1566.6667
2006-02-24,-2.0
2006-04-03,-79.5918
2006-04-10,1400.0
2006-04-11,-6.6667
2006-04-20,7.1429
2006-04-25,-16.6667
2006-04-27,-1.6
2006-05-01,1.626
2006-05-03,4.0
2006-05-09,-7.6923
2006-05-10,8.3333
2006-05-11,-7.6923
2006-05-16,-4.1667
2006-05-18,0.0
2006-05-19,8.6957
2006-05-22,0.0
2006-05-23,0.0
2006-05-24,4.0
2006-05-25,6.9231
2006-05-26,2.8777
2006-05-30,22.3776
2006-05-31,-8.5714
2006-06-01,0.0
2006-06-02,-3.125
2006-06-05,0.0
2006-06-12,-3.2258
2006-06-13,-13.3333
2006-06-16,15.3846
2006-06-19,0.0
2006-06-23,-2.6667
2006-06-30,0.6849
2006-07-05,2.0408
2006-07-07,-30.0
2006-07-10,14.2857
2006-07-11,8.3333
2006-07-13,-3.8462
2006-07-14,-20.0
2006-07-19,-10.0
2006-07-20,1.1111
2006-07-21,-1.0989
2006-07-31,52.2222
2006-08-04,-34.3066
2006-08-17,12.2222
2006-08-18,22.7723
2006-08-30,0.0
2006-09-15,-19.3548
2006-10-06,0.0
2006-10-12,-70.0
2006-10-13,0.0
2006-10-24,0.0
2006-10-26,73.3333
2006-11-20,15.3846
2006-11-27,0.0
2006-12-01,-50.0
2006-12-08,0.0
2007-01-09,240.0
2007-02-27,-80.3922
2007-03-30,0.0
2007-04-10,150.0
2007-04-13,60.0
2007-04-16,0.0
2007-05-10,-87.5
2007-07-05,880.0
2007-07-13,-79.5918
2007-07-27,0.0
2007-09-11,20.0
2007-09-12,316.6667
2007-09-13,-84.0
2007-09-24,25.0
2007-09-28,380.0
2007-10-01,39.5833
2007-10-02,50.7463
2007-10-03,7.9208
2007-10-04,-7.3394
2007-10-05,0.0
2007-10-08,-23.8614
2007-10-09,17.0351
2007-10-10,-1.1111
2007-10-11,-21.3483
2007-10-15,5.7143
2007-10-17,-18.9189
2007-10-22,-8.3333
2007-10-25,27.2727
2007-10-26,-1.4285999999999999
2007-10-29,1.4493
2007-11-19,-60.0
2007-11-27,-10.7143
2007-11-29,0.0
2007-12-04,-20.0
2007-12-05,100.0
2007-12-14,100.0
2007-12-18,-50.0
2007-12-28,75.0
2008-01-10,7.1429
2008-01-11,40.0
2008-01-14,-14.2857
2008-01-15,-11.1111
2008-01-23,12.5
2008-01-24,0.0
2008-01-30,0.0
2008-01-31,-30.0
2008-02-07,0.0
