ticker,CMTV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,4.4776
2000-01-05,-2.8571
2000-01-07,5.8824
2000-01-10,-5.5556
2000-01-11,0.0
2000-01-14,1.9184999999999999
2000-01-19,0.0
2000-01-20,2.9412000000000003
2000-01-24,0.0
2000-01-26,0.0
2000-01-31,0.0
2000-02-01,-2.8571
2000-02-02,11.7647
2000-02-14,-10.526299999999999
2000-02-15,0.0
2000-02-17,2.9412000000000003
2000-02-18,0.0
2000-02-28,-2.8571
2000-02-29,11.7647
2000-03-02,0.0
2000-03-03,-10.526299999999999
2000-03-06,14.7059
2000-03-08,-10.2564
2000-03-09,-2.8571
2000-03-10,5.8824
2000-03-13,5.5556
2000-03-24,-9.2105
2000-03-27,-1.4493
2000-03-30,8.8235
2000-04-03,-8.1081
2000-04-04,0.0
2000-04-10,5.8824
2000-04-11,2.7778
2000-04-12,-10.4324
2000-04-13,1.5385
2000-04-14,-1.5152
2000-04-18,6.1538
2000-04-19,-4.3478
2000-04-20,-1.5152
2000-04-24,3.0769
2000-05-02,19.403
2000-05-04,0.0
2000-05-09,0.0
2000-05-10,-15.0
2000-05-16,16.1765
2000-05-23,-3.7975
2000-05-24,2.6316
2000-05-25,-1.2821
2000-05-26,0.0
2000-06-06,1.2987
2000-06-07,2.5641
2000-06-08,1.4
2000-06-12,1.0848
2000-06-14,-2.439
2000-06-21,-2.5
2000-06-28,0.0
2000-07-10,7.6923
2000-07-14,-3.2882
2000-07-18,-5.0
2000-07-19,7.8947
2000-07-20,-1.2195
2000-07-24,1.2346
2000-07-25,-7.3171
2000-07-26,0.0
2000-07-28,0.0
2000-07-31,5.2632
2000-08-02,0.0
2000-08-07,0.0
2000-08-08,-2.5
2000-08-11,5.1282
2000-08-14,-4.878
2000-08-16,6.4103
2000-08-17,-3.6145
2000-08-18,-2.5
2000-08-23,3.2051
2000-08-24,-0.6211
2000-08-28,1.25
2000-08-30,-1.2346
2000-09-06,7.5
2000-09-11,-6.9767
2000-09-13,6.25
2000-09-18,-1.1764999999999999
2000-09-19,-4.7619
2000-09-25,7.5
2000-09-27,-5.814
2000-09-29,-1.2346
2000-10-02,2.5
2000-10-03,-2.439
2000-10-05,6.875
2000-10-06,-6.4327
2000-10-10,15.0
2000-10-19,-7.4074
2000-10-23,2.3810000000000002
2000-10-24,-6.9767
2000-10-25,0.0
2000-10-26,0.0
2000-10-27,0.0
2000-11-02,10.0
2000-11-07,-1.1364
2000-11-10,-1.1494
