ticker,SITS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-06,-21.4286
2000-01-10,18.1818
2000-01-11,-15.3846
2000-01-12,18.1818
2000-01-13,7.6923
2000-01-14,0.0
2000-01-19,14.2857
2000-01-20,9.375
2000-01-21,16.0714
2000-01-24,-13.8462
2000-01-25,2.8571
2000-01-26,30.5556
2000-01-27,6.383
2000-01-28,32.0
2000-01-31,-16.6667
2000-02-01,9.0909
2000-02-04,-11.6667
2000-02-07,-3.7736
2000-02-08,-11.7647
2000-02-09,22.2222
2000-02-14,-16.3636
2000-02-15,-10.8696
2000-02-16,-8.5366
2000-02-17,6.6667
2000-02-18,8.75
2000-02-22,-3.4483
2000-02-23,7.1429
2000-02-24,-16.6667
2000-02-28,6.6667
2000-02-29,-12.5
2000-03-01,65.7143
2000-03-02,-34.4828
2000-03-03,31.5789
2000-03-06,-25.0
2000-03-07,9.3333
2000-03-08,-12.1951
2000-03-09,16.6667
2000-03-13,4.7619
2000-03-14,27.8409
2000-03-15,-11.1111
2000-03-16,0.0
2000-03-17,0.0
2000-03-21,-18.0
2000-03-22,6.7073
2000-03-23,-6.2857
2000-03-24,9.7561
2000-03-28,0.0
2000-03-29,-6.6667
2000-04-03,0.0
2000-04-04,2.3810000000000002
2000-04-05,0.0
2000-04-06,1.7442
2000-04-07,2.8571
2000-04-10,0.0
2000-04-11,-11.1111
2000-04-12,-20.0
2000-04-13,-6.25
2000-04-17,-16.6667
2000-04-18,20.0
2000-04-19,-6.25
2000-04-20,-21.7778
2000-04-25,6.5341000000000005
2000-04-26,20.0
2000-05-01,-22.2222
2000-05-15,-8.5714
2000-05-19,40.625
2000-05-22,-32.4444
2000-05-24,57.8947
2000-05-30,-36.6667
2000-05-31,31.5789
2000-06-07,0.0
2000-06-12,12.0
2000-06-13,-3.5714
2000-06-29,3.7037
2000-07-03,-25.0
2000-07-11,19.0476
2000-07-13,0.0
2000-07-17,28.0
2000-07-18,0.0
2000-07-21,0.0
2000-07-28,-6.25
2000-07-31,-30.0
2000-08-01,19.0476
2000-08-02,0.0
2000-08-04,-0.4
2000-08-14,-39.759
2000-08-15,0.0
2000-08-30,33.3333
2000-08-31,-25.0
2000-09-07,26.6667
2000-09-11,-21.0526
2000-09-12,0.0
2000-09-15,0.0
2000-09-18,0.0
2000-09-19,0.0
2000-09-20,0.0
2000-09-26,0.0
2000-10-02,0.0
2000-10-03,0.0
2000-10-09,0.0
2000-10-10,0.0
2000-10-13,0.0
2000-10-16,0.0
