ticker,LIVKU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-12-11,0.1
2019-12-12,0.0
2019-12-13,0.1998
2019-12-16,0.0997
2019-12-17,-0.0996
2019-12-18,0.0
2019-12-19,0.1994
2019-12-20,0.0995
2019-12-23,-0.0994
2019-12-27,0.0995
2019-12-30,0.0
2019-12-31,0.0139
2020-01-02,-0.1133
2020-01-03,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,-0.0995
2020-01-09,0.4462
2020-01-10,-0.0476
2020-01-13,0.6944
2020-01-14,-0.0985
2020-01-15,-0.0986
2020-01-16,-0.2962
2020-01-17,0.198
2020-01-21,0.3953
2020-01-23,0.1969
2020-01-24,-0.1965
2020-01-27,-0.0984
2020-01-28,0.0
2020-01-29,-0.0207
2020-01-30,0.0207
2020-01-31,0.0
2020-02-03,0.3941
2020-02-04,0.3925
2020-02-06,-0.2933
2020-02-10,0.0
2020-02-11,-0.4902
2020-02-12,0.0
2020-02-13,0.4926
2020-02-14,-0.098
2020-02-19,-0.0981
2020-02-20,-0.2947
2020-02-24,0.197
2020-02-27,0.6883
2020-02-28,0.0
2020-03-03,-0.3906
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,-0.9804
2020-03-09,0.0
2020-03-11,0.0
2020-03-12,-0.495
2020-03-13,-0.4965
2020-03-20,-0.901
2020-03-23,-1.11
2020-03-31,0.0
2020-04-23,2.0398
2020-05-07,0.001
2020-05-08,-0.5
2020-05-27,-0.9045
2020-06-04,0.0
2020-06-05,0.426
2020-06-10,0.9897
2020-06-12,0.1
2020-06-24,-0.8492
2020-06-30,3.2746
2020-07-02,-2.3395
2020-07-28,0.4975
2020-07-30,-0.0994
