ticker,MEDH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-31,16.6667
2007-06-01,0.0
2007-06-04,5.7143
2007-06-05,1.0811
2007-06-07,-21.3904
2007-06-11,15.6463
2007-06-13,5.8824
2007-06-14,-2.2222
2007-06-15,5.1136
2007-06-18,-13.5135
2007-06-20,-3.125
2007-06-21,-3.2258
2007-06-22,-23.3333
2007-06-25,21.7391
2007-06-26,7.1429
2007-06-27,3.3333
2007-06-28,0.0
2007-06-29,-3.2258
2007-07-02,-3.3333
2007-07-03,0.0
2007-07-12,2.069
2007-07-13,1.3514
2007-07-16,-3.3333
2007-07-17,3.4483
2007-07-18,0.0
2007-07-19,-12.6667
2007-07-24,14.5038
2007-07-25,-6.0
2007-07-26,13.4752
2007-07-27,-12.5
2007-07-31,6.4286
2007-08-01,-0.6711
2007-08-02,0.6757
2007-08-03,0.0
2007-08-06,0.0
2007-08-07,-19.4631
2007-08-08,2.5
2007-08-09,0.0
2007-08-10,-2.439
2007-08-13,0.0
2007-08-15,0.0
2007-08-20,0.8333
2007-08-21,11.5702
2007-08-23,11.1111
2007-08-24,-13.3333
2007-08-27,7.6923
2007-08-28,-3.5714
2007-09-04,3.7037
2007-09-05,7.1429
2007-09-06,-4.0
2007-09-07,0.6944
2007-09-10,0.0
2007-09-12,0.0
2007-09-18,0.0
2007-09-19,-3.4483
2007-09-20,0.0
2007-09-24,2.8571
2007-09-25,0.6944
2007-09-26,0.0
2007-09-27,0.0
2007-09-28,3.4483
2007-10-01,0.0
2007-10-02,0.0
2007-10-03,-2.6667
2007-10-04,-6.8493
2007-10-05,0.0
2007-10-09,-0.7353
2007-10-10,11.1111
2007-10-11,13.3333
2007-10-12,-1.1764999999999999
2007-10-15,-7.7381
2007-10-16,-3.2258
2007-10-17,0.0
2007-10-19,3.3333
2007-10-24,-6.4516
2007-10-26,-3.4483
2007-10-29,10.7143
2007-10-30,-4.5161
2007-10-31,1.3514
2007-11-01,-0.6667
2007-11-02,-0.6711
2007-11-05,1.3514
2007-11-06,0.0
2007-11-07,0.0
2007-11-08,0.0
2007-11-12,-1.3333
2007-11-13,1.3514
2007-11-14,-4.0
2007-11-19,6.9444
2007-11-26,-9.0909
2007-11-27,0.0
2007-12-05,7.1429
2007-12-07,-6.6667
2007-12-10,8.5714
2007-12-11,0.0
2007-12-12,-14.473700000000001
2007-12-19,7.6923
2007-12-20,7.1429
2007-12-26,0.0
2007-12-27,-8.6667
2007-12-31,5.8394
2008-01-02,-1.3793
