ticker,DEQI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-11,24900.0
2000-02-14,-20.0
2000-02-16,100.0
2000-02-17,82.5
2000-02-18,15.0685
2000-02-22,3.5714
2000-02-23,19.5402
2000-02-24,20.1923
2000-02-25,20.0
2000-02-28,10.0
2000-02-29,-23.0303
2000-03-01,-1.5748
2000-03-02,0.0
2000-03-03,4.0
2000-03-06,3.8462
2000-03-07,1.4815
2000-03-08,2.1898
2000-03-09,-7.1429
2000-03-10,0.0
2000-03-13,12.3077
2000-03-14,-10.9589
2000-03-15,-15.3846
2000-03-16,4.5455
2000-03-17,-8.6957
2000-03-20,0.0
2000-03-21,14.2857
2000-03-22,-33.3333
2000-03-23,36.7188
2000-03-24,-26.8571
2000-03-27,0.0
2000-03-28,-21.875
2000-03-29,60.0
2000-03-30,0.0
2000-03-31,0.0
2000-04-03,30.0
2000-04-04,3.8462
2000-04-05,1.4815
2000-04-06,9.4891
2000-04-07,0.0
2000-04-10,0.0
2000-04-11,6.6667
2000-04-12,9.375
2000-04-13,7.1429
2000-04-14,0.0
2000-04-17,4.0
2000-04-18,-10.2564
2000-04-19,-11.4286
2000-04-20,0.0
2000-04-24,-11.2903
2000-04-25,-9.0909
2000-04-26,0.0
2000-04-27,-10.0
2000-04-28,11.1111
2000-05-02,0.0
2000-05-04,4.0
2000-05-08,-23.0769
2000-05-10,-25.0
2000-05-11,6.6667
2000-05-12,-35.0
2000-05-16,68.2692
2000-05-17,14.2857
2000-05-18,1.0
2000-05-19,-13.3663
2000-05-24,-14.2857
2000-05-25,-16.6667
2000-05-26,0.0
2000-05-31,36.0
2000-06-01,0.0
2000-06-05,29.4118
2000-06-06,-4.5455
2000-06-07,0.0
2000-06-08,0.0
2000-06-09,0.0
2000-06-12,-28.5714
2000-06-13,6.6667
2000-06-14,-43.75
2000-06-15,0.0
2000-06-16,28.8889
2000-06-19,0.0
2000-06-22,-25.8621
2000-06-23,0.0
2000-06-27,34.8837
2000-06-28,-13.7931
2000-07-05,-14.0
2000-07-07,27.907
2000-07-11,9.0909
2000-07-13,0.0
2000-07-17,0.0
2000-07-24,-6.6667
2000-07-25,-8.9286
2000-07-27,0.0
2000-07-28,0.0
2000-07-31,7.8431
2000-08-02,9.0909
2000-08-03,0.0
2000-08-10,0.0
2000-08-17,0.0
2000-08-18,4.1667
2000-08-23,4.0
2000-08-24,-13.8462
2000-08-28,-8.9286
2000-08-29,0.0
2000-08-31,0.0
2000-09-06,3.9215999999999998
