ticker,SGYI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-02-03,200.0
2004-02-04,-33.3333
2004-02-05,-62.5
2004-02-06,242.0833
2004-02-09,-22.0463
2004-06-18,185400.0
2004-06-21,-43.3962
2004-06-22,-16.6667
2004-06-23,8.0
2004-06-24,0.0
2004-06-25,0.0
2004-06-29,-5.5556
2004-06-30,-1.9607999999999999
2004-07-07,-8.0
2004-07-08,13.0435
2004-07-14,-15.3846
2004-07-15,-27.2727
2004-07-16,3.125
2004-07-19,2.4242
2004-07-21,-2.3669000000000002
2004-07-26,-9.0909
2004-07-27,10.0
2004-08-03,21.2121
2004-08-04,-5.5
2004-08-06,-10.0529
2004-08-10,2.3529
2004-08-11,-2.8736
2004-08-13,-11.2426
2004-08-16,8.6667
2004-08-17,2.454
2004-08-18,0.0
2004-08-19,0.0
2004-08-20,4.7904
2004-08-23,-4.5714
2004-08-24,-2.9939999999999998
2004-08-25,-2.4691
2004-08-26,3.1646
2004-08-27,-6.135
2004-08-30,4.5752
2004-08-31,0.0
2004-09-01,-9.375
2004-09-02,6.2069
2004-09-07,-3.2468
2004-09-09,0.6711
2004-09-10,-6.6667
2004-09-13,0.0
2004-09-15,-2.8571
2004-09-16,-4.4118
2004-09-17,3.8462
2004-09-20,-3.7037
2004-09-21,3.8462
2004-09-22,0.0
2004-09-23,-11.1111
2004-09-24,4.1667
2004-09-27,-4.0
2004-09-28,8.3333
2004-09-29,0.0
2004-09-30,19.2308
2004-10-01,-3.2258
2004-10-04,-2.0
2004-10-05,-13.6054
2004-10-06,-0.7874
2004-10-07,-0.7937
2004-10-08,0.0
2004-10-11,16.0
2004-10-12,-1.3793
2004-10-13,0.0
2004-10-14,0.0
2004-10-15,1.3986
2004-10-18,-3.4483
2004-10-19,-3.5714
2004-10-20,-7.4074
2004-10-21,0.0
2004-10-22,0.0
2004-10-25,13.6
2004-10-26,-7.7465
2004-10-27,-0.7634
2004-10-28,1.5385
2004-11-02,-9.0909
2004-11-04,6.6667
2004-11-05,-7.8125
2004-11-08,11.0169
2004-11-09,-12.2137
2004-11-10,8.6957
2004-11-11,2.4
2004-11-12,17.9688
2004-11-15,-3.9735
2004-11-16,3.4483
2004-11-17,6.6667
2004-11-18,18.75
2004-11-19,0.0
2004-11-22,-2.6316
2004-11-23,-2.7027
2004-11-24,-5.0
2004-11-29,-0.5848
2004-11-30,-1.7647
2004-12-01,-1.1377
2004-12-02,1.7565
2004-12-03,-4.7619
2004-12-06,-4.375
