ticker,ACNV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-19,0.0
2015-04-29,0.0
2015-05-18,20.0
2015-05-22,8.3333
2015-06-01,0.0
2015-06-02,3.0769
2015-06-03,0.0
2015-06-10,1.4925
2015-06-12,-27.9412
2015-06-16,40.8163
2015-06-17,-28.985500000000002
2015-06-18,40.8163
2015-06-19,-13.0435
2015-06-22,0.0
2015-06-29,0.0
2015-06-30,0.0
2015-07-09,0.0
2015-07-10,0.0
2015-07-17,-1.6667
2015-07-27,-23.7288
2015-07-29,-11.1111
2015-07-31,-25.0
2015-08-04,-33.3333
2015-08-05,124.0
2015-08-06,-0.0056
2015-08-10,-1.7802
2015-08-11,1.8125
2015-08-12,0.0056
2015-08-14,-0.0056
2015-08-17,-53.1224
2015-08-18,-9.5357
2015-08-19,-1.0396
2015-08-20,-28.7234
2015-08-21,3.7313
2015-08-24,29.4964
2015-08-26,-43.3333
2015-08-27,-31.3725
2015-08-31,-14.2857
2015-09-02,33.3333
2015-09-03,-25.0
2015-09-04,16.6667
2015-09-08,-77.1429
2015-09-09,31.25
2015-09-11,38.0952
2015-09-14,-37.931
2015-09-17,21.1111
2015-09-18,-26.6055
2015-09-21,-37.5
2015-09-22,40.0
2015-09-24,-28.5714
2015-09-25,0.0
2015-09-28,-58.0
2015-09-29,4.7619
2015-10-02,218.1818
2015-10-05,0.0
2015-10-09,-28.5714
2015-10-12,-5.0
2015-10-13,-15.7895
2015-10-16,25.0
2015-10-19,-48.0
2015-10-20,53.8462
2015-10-22,25.0
2015-10-27,-17.375
2015-10-28,20.7262
2015-10-29,-17.7945
2015-11-02,-14.1768
2015-11-03,-37.4778
2015-11-04,-9.0909
2015-11-05,0.0
2015-11-06,50.0
2015-11-09,-16.6667
2015-11-10,20.0
2015-11-13,33.3333
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,-25.0
2015-11-19,50.0
2015-11-20,144.4444
2015-11-23,136.3636
2015-11-24,26.9231
2015-11-25,42.4242
2015-11-27,-19.1489
2015-11-30,-50.0
2015-12-01,5.2632
2015-12-02,25.0
2015-12-03,15.95
2015-12-04,-3.4066
2015-12-07,-25.0
2015-12-08,-4.7619
2015-12-09,10.0
2015-12-10,2.2727
2015-12-11,6.6667
2015-12-14,-8.3333
2015-12-15,-7.7273
2015-12-16,6.1576
2015-12-17,11.3689
2015-12-18,-8.3333
2015-12-21,-9.0909
2015-12-22,-10.0625
2015-12-23,5.6289
2015-12-24,5.2632
2015-12-28,-5.2813
