ticker,BMXI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-12-29,15.3846
2005-01-05,-13.3333
2005-01-07,-6.1538
2005-02-01,-1.6393
2005-02-17,6.6667
2005-02-18,6.25
2005-02-23,-16.1765
2005-02-24,0.0
2005-03-04,-3.5088
2005-03-07,1.8182
2005-03-09,9.8214
2005-03-11,-5.6911000000000005
2005-03-14,-3.4483
2005-03-15,0.0
2005-03-16,0.0
2005-03-22,16.0714
2005-03-24,-6.1538
2005-03-28,0.0
2005-03-30,-1.6393
2005-04-01,18.3333
2005-04-05,-8.4507
2005-04-06,-4.6154
2005-04-12,-6.4516
2005-04-13,-13.7931
2005-04-14,0.0
2005-04-15,-10.0
2005-04-19,0.0
2005-04-20,6.6667
2005-04-21,0.0
2005-04-25,0.0
2005-04-28,-12.5
2005-05-02,0.0
2005-05-03,-4.7619
2005-05-04,10.0
2005-05-05,-6.8182
2005-05-06,9.7561
2005-05-09,10.0
2005-05-10,13.1313
2005-05-11,0.0
2005-05-12,3.5714
2005-05-13,3.4483
2005-05-16,10.0
2005-05-17,12.1212
2005-05-18,-2.7027
2005-05-19,-1.3889
2005-05-20,1.4085
2005-05-24,-2.7778
2005-05-25,-1.4285999999999999
2005-05-26,1.4493
2005-05-27,-2.8571
2005-05-31,0.0
2005-06-01,-1.4706000000000001
2005-06-02,0.0
2005-06-03,-1.4925
2005-06-06,-7.5758
2005-06-07,9.8361
2005-06-08,-7.4627
2005-06-09,1.6129
2005-06-10,0.0
2005-06-13,-4.7619
2005-06-14,-5.0
2005-06-15,8.7719
2005-06-20,-9.6774
2005-06-21,1.7856999999999998
2005-06-22,-3.5088
2005-06-23,-12.7273
2005-06-24,-16.6667
2005-06-27,25.0
2005-06-28,-20.0
2005-06-29,35.0
2005-06-30,-9.2593
2005-07-01,-14.2857
2005-07-06,4.7619
2005-07-07,11.3636
2005-07-12,-18.3673
2005-07-14,5.0
2005-07-15,-4.7619
2005-07-18,-17.5
2005-07-19,-24.2424
2005-07-20,20.0
2005-07-21,6.6667
2005-07-22,9.375
2005-07-25,-11.4286
2005-07-26,6.4516
2005-07-28,-7.5758
2005-07-29,14.7541
2005-08-01,17.1429
2005-08-02,-2.439
2005-08-04,0.0
2005-08-08,-5.0
2005-08-09,5.2632
2005-08-10,-25.0
2005-08-11,0.0
2005-08-12,0.0
2005-08-15,60.0
2005-08-16,-16.6667
2005-08-17,-25.0
2005-08-18,-16.6667
2005-08-19,60.0
2005-08-23,0.0
2005-08-24,0.0
