ticker,BRVO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-12-14,-83.3333
2009-12-21,80.0
2009-12-22,-22.2222
2009-12-23,-14.2857
2009-12-24,-16.6667
2009-12-29,-37.5
2010-01-04,60.0
2010-01-05,0.0
2010-01-11,0.0
2010-01-13,0.0
2010-01-14,80.0
2010-01-15,-16.6667
2010-01-19,-20.0
2010-01-21,0.0
2010-01-22,0.0
2010-01-26,0.0
2010-02-03,16.6667
2010-02-04,14.2857
2010-02-05,37.5
2010-02-10,-27.2727
2010-02-12,0.0
2010-02-16,0.0
2010-02-17,-31.25
2010-02-18,-11.3636
2010-02-19,23.0769
2010-02-23,0.0
2010-02-25,16.6667
2010-02-26,28.5714
2010-03-01,-11.1111
2010-03-02,12.5
2010-03-03,-16.6667
2010-03-04,6.6667
2010-03-05,-18.75
2010-03-08,0.0
2010-03-10,7.6923
2010-03-11,0.0
2010-03-12,-2.6786
2010-03-15,10.0917
2010-03-16,0.0
2010-03-17,6.6667
2010-03-18,0.0
2010-03-19,25.0
2010-03-22,20.0
2010-03-23,41.6667
2010-03-24,-11.7647
2010-03-25,5.4167
2010-03-26,-4.3478
2010-03-29,5.7851
2010-03-30,0.0
2010-03-31,12.5
2010-04-01,2.7778
2010-04-05,8.1081
2010-04-06,10.0
2010-04-07,-13.6364
2010-04-08,-0.6579
2010-04-09,-2.9801
2010-04-12,-7.1672
2010-04-13,-4.7794
2010-04-14,23.5521
2010-04-15,15.0
2010-04-16,-8.6957
2010-04-19,-4.7619
2010-04-20,5.0
2010-04-21,4.7619
2010-04-22,-4.5455
2010-04-23,-0.5952
2010-04-26,19.7605
2010-04-27,48.0
2010-04-28,-2.7027
2010-04-29,8.3333
2010-04-30,2.5641
2010-05-03,2.5
2010-05-04,-4.878
2010-05-05,2.5641
2010-05-06,-5.0
2010-05-07,-2.6316
2010-05-10,6.4189
2010-05-11,-11.1111
2010-05-12,25.7143
2010-05-13,59.0909
2010-05-14,-20.0
2010-05-17,-16.0714
2010-05-18,-19.1489
2010-05-19,5.2632
2010-05-20,4.6875
2010-05-21,-4.4776
2010-05-24,32.5
2010-05-25,-0.7075
2010-05-26,1.6627
2010-05-27,-2.8037
2010-05-28,-3.8462
2010-06-01,4.0
2010-06-02,-13.461500000000001
2010-06-03,0.4167
2010-06-04,2.4896
2010-06-07,-4.9933
2010-06-08,-25.0
2010-06-09,3.0303
2010-06-10,32.9044
2010-06-11,2.9046
2010-06-14,3.2258
2010-06-15,0.0
