ticker,RGST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-10-14,81.8182
2004-10-15,300.0
2004-10-19,-37.5
2004-10-20,5.0
2004-10-21,-23.8095
2004-10-22,-37.5
2004-10-25,-10.0
2004-10-26,8.8889
2004-10-27,-18.3673
2004-10-29,37.5
2004-11-01,-14.5455
2004-11-02,25.5319
2004-11-03,-8.4746
2004-11-05,-7.4074
2004-11-09,40.0
2004-11-10,2.8571
2004-11-11,1.3889
2004-11-12,43.8356
2004-11-15,-21.9048
2004-11-16,4.878
2004-11-17,0.0
2004-11-18,0.0
2004-11-19,-10.4651
2004-11-22,9.0909
2004-11-24,19.0476
2004-11-26,0.0
2004-11-29,-25.0
2004-11-30,-4.0
2004-12-01,10.8333
2004-12-02,0.2506
2004-12-03,12.5
2004-12-06,5.5556
2004-12-07,-21.0526
2004-12-08,-16.0
2004-12-09,58.730199999999996
2004-12-10,-10.0
2004-12-13,-5.5556
2004-12-14,17.647100000000002
2004-12-15,-40.0
2004-12-16,63.3333
2004-12-17,-14.2857
2004-12-20,-28.5714
2004-12-21,-1.6667
2004-12-22,1.6949
2004-12-23,66.6667
2004-12-27,-35.0
2004-12-28,1.5385
2004-12-29,-3.0303
2004-12-30,9.375
2005-01-03,0.0
2005-01-04,-11.4286
2005-01-05,45.1613
2005-01-06,0.0
2005-01-07,11.1111
2005-01-10,-5.0
2005-01-11,-15.7895
2005-01-12,10.0
2005-01-13,-9.0909
2005-01-14,18.75
2005-01-18,4.2105
2005-01-19,3.0303
2005-01-20,-1.9607999999999999
2005-01-21,-21.0
2005-01-24,1.2658
2005-01-25,12.5
2005-01-26,1.7778
2005-01-27,-12.6638
2005-01-28,1.25
2005-01-31,4.9383
2005-02-01,-3.5294
2005-02-02,-9.7561
2005-02-03,1.3514
2005-02-04,6.6667
2005-02-07,-16.25
2005-02-08,2.9851
2005-02-09,-13.0435
2005-02-10,0.0
2005-02-11,-6.6667
2005-02-14,16.0714
2005-02-15,15.3846
2005-02-16,-16.0
2005-02-17,-9.5238
2005-02-18,1.7544
2005-02-22,-10.3448
2005-02-23,-19.2308
2005-02-24,38.0952
2005-02-25,-22.4138
2005-02-28,2.2222
2005-03-01,-2.1739
2005-03-02,-12.8889
2005-03-03,2.0408
2005-03-04,7.5
2005-03-07,-3.7209
2005-03-08,-10.628
2005-03-09,-13.5135
2005-03-10,6.25
2005-03-11,-17.647100000000002
2005-03-14,0.0
2005-03-15,32.1429
2005-03-16,2.1622
2005-03-17,-10.0529
