ticker,CRVW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-05-10,3.8462
2004-05-11,18.5185
2004-05-12,0.0
2004-05-13,0.0
2004-05-14,6.25
2004-05-17,2.9412000000000003
2004-05-18,-2.8571
2004-05-19,-2.9412000000000003
2004-05-20,3.0303
2004-05-21,11.7647
2004-05-24,0.0
2004-05-25,-26.3158
2004-05-26,0.0
2004-05-27,-21.4286
2004-05-28,-9.0909
2004-06-01,-20.0
2004-06-02,0.0
2004-06-03,0.0
2004-06-04,-8.75
2004-06-07,2.7397
2004-06-08,6.6667
2004-06-09,-12.5
2004-06-10,7.1429
2004-06-14,0.0
2004-06-15,-6.6667
2004-06-16,0.0
2004-06-17,14.2857
2004-06-18,-25.0
2004-06-21,8.3333
2004-06-22,-7.6923
2004-06-23,0.0
2004-06-24,-16.6667
2004-06-25,20.0
2004-06-28,0.0
2004-06-29,0.0
2004-07-02,-16.6667
2004-07-06,59.0
2004-07-07,-24.5283
2004-07-12,75.0
2004-07-13,28.5714
2004-07-14,-28.1481
2004-07-15,-27.8351
2004-07-16,-7.1429
2004-07-19,-15.3846
2004-07-20,9.0909
2004-07-21,-16.6667
2004-07-22,10.0
2004-07-23,-9.0909
2004-07-26,20.0
2004-07-27,-16.6667
2004-07-28,0.0
2004-07-29,0.0
2004-07-30,0.0
2004-08-02,0.0
2004-08-04,-20.0
2004-08-05,25.0
2004-08-06,-20.0
2004-08-09,75.0
2004-08-10,-28.5714
2004-08-11,0.0
2004-08-12,40.0
2004-08-13,-28.5714
2004-08-16,0.0
2004-08-17,0.0
2004-08-18,0.0
2004-08-19,0.0
2004-08-23,20.0
2004-08-24,-25.0
2004-08-25,11.1111
2004-08-26,0.0
2004-08-27,-20.0
2004-08-30,0.0
2004-08-31,0.0
2004-09-01,50.0
2004-09-03,-33.3333
2004-09-07,-25.0
2004-09-08,33.3333
2004-09-09,-25.0
2004-09-10,33.3333
2004-09-13,-30.0
2004-09-14,42.8571
2004-09-15,-25.0
2004-09-16,0.0
2004-09-17,18.3333
2004-09-20,4.2254
2004-09-22,-18.9189
2004-09-23,-16.6667
2004-09-24,80.0
2004-09-27,-11.1111
2004-09-28,15.0
2004-09-29,-45.6522
2004-10-01,1.5
2004-10-04,37.931
2004-10-05,-14.2857
2004-10-06,10.0
2004-10-07,6.0606
2004-10-08,0.0
2004-10-11,14.2857
2004-10-13,-25.0
2004-10-15,16.6667
2004-10-18,-14.2857
2004-10-19,6.6667
2004-10-20,40.625
