ticker,AMTCQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-7.6923
2000-01-04,6.6667
2000-01-05,-6.25
2000-01-06,6.6667
2000-01-10,-6.25
2000-01-12,21.6667
2000-01-20,6.3234
2000-01-21,5.2632
2000-01-26,-10.0
2000-01-28,0.0
2000-01-31,-5.5556
2000-02-01,1.4706000000000001
2000-02-18,-7.2464
2000-02-22,-25.0
2000-02-24,33.3333
2000-02-29,0.0
2000-03-06,9.375
2000-03-13,0.0
2000-03-15,-21.4286
2000-03-21,16.3636
2000-03-22,-9.375
2000-03-23,20.6897
2000-03-27,1.4285999999999999
2000-03-29,-18.3099
2000-03-30,-3.4483
2000-04-03,-1.7856999999999998
2000-04-04,1.8182
2000-04-12,7.1429
2000-04-17,-20.0
2000-04-20,2.916
2000-04-25,4.1667
2000-04-28,2.0
2000-05-01,4.902
2000-05-05,22.4299
2000-05-08,2.2901
2000-05-09,-1.4925
2000-05-10,0.0
2000-05-11,9.0909
2000-05-12,0.0
2000-05-15,2.7778
2000-05-16,0.0
2000-05-18,-2.7027
2000-05-26,1.3889
2000-05-30,-8.2192
2000-06-19,2.9851
2000-06-20,-7.2464
2000-06-22,3.125
2000-07-06,-13.6364
2000-07-10,0.0
2000-07-17,2.6316
2000-07-21,9.4017
2000-07-24,3.125
2000-08-09,-3.0303
2000-08-10,3.9063
2000-08-14,-0.7519
2000-08-24,0.0
2000-08-25,0.0
2000-08-28,0.0
2000-09-06,8.7121
2000-09-08,-8.0139
2000-09-11,-0.7576
2000-09-12,0.0
2000-09-13,0.0
2000-09-14,3.8167999999999997
2000-09-18,-2.9412000000000003
2000-09-20,0.0
2000-09-22,-1.5152
2000-09-25,4.6154
2000-09-29,17.647100000000002
2000-10-05,-15.0
2000-10-06,-5.8824
2000-10-11,15.625
2000-10-12,-13.5135
2000-10-18,4.6875
2000-10-27,0.0
2000-10-30,-5.2239
2000-11-06,-11.0236
2000-11-13,-4.4248
2000-11-15,5.5556
2000-11-16,-0.8772
2000-11-21,-7.9646
2000-11-24,-9.1346
2000-11-27,-6.8783
2000-11-28,0.0
2000-11-29,4.5455
2000-11-30,-1.087
2000-12-05,-27.4725
2000-12-06,21.2121
2000-12-12,-2.5
2000-12-19,5.1282
2000-12-20,-2.439
2001-01-05,10.0
2001-01-09,1.1364
2001-01-11,5.618
2001-01-12,-2.1277
2001-01-16,4.3478
2001-01-23,3.2702
2001-01-25,22.9167
2001-02-02,-20.339
2001-02-06,-6.383
