ticker,GBDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-05-15,6.6667
2001-05-16,0.0
2001-05-21,0.0
2001-05-22,-6.25
2001-05-24,-20.0
2001-05-30,-8.3333
2001-06-04,9.0909
2001-06-05,-8.3333
2001-06-06,-27.2727
2001-06-07,37.5
2001-06-08,-9.0909
2001-06-11,-40.0
2001-06-12,-50.0
2001-06-13,33.3333
2001-06-14,0.0
2001-06-15,-10.0
2001-06-18,0.0
2001-06-19,5.5556
2001-06-20,-26.3158
2001-06-21,-35.7143
2001-06-22,22.2222
2001-06-25,0.0
2001-06-26,-9.0909
2001-06-27,20.0
2001-06-28,-41.6667
2001-07-02,14.2857
2001-07-03,-6.25
2001-07-05,-33.3333
2001-07-09,-20.0
2001-07-10,37.5
2001-07-11,-27.2727
2001-07-13,-12.5
2001-07-16,14.2857
2001-07-17,-25.0
2001-07-18,6.6667
2001-07-19,-6.25
2001-07-20,133.3333
2001-07-23,-28.5714
2001-07-24,20.0
2001-07-25,0.0
2001-07-27,-16.6667
2001-07-30,0.0
2001-07-31,20.0
2001-08-01,58.3333
2001-08-02,-21.0526
2001-08-03,-33.3333
2001-08-06,0.0
2001-08-14,-30.0
2001-08-15,42.8571
2001-08-16,-20.0
2001-08-21,-25.0
2001-08-23,0.0
2001-08-27,66.6667
2001-08-28,20.0
2001-08-29,-16.6667
2001-08-30,20.0
2001-08-31,-66.6667
2001-09-04,115.0
2001-09-06,16.2791
2001-09-07,0.0
2001-09-10,20.0
2001-09-17,-16.6667
2001-09-19,-30.0
2001-09-21,-14.2857
2001-09-24,-33.3333
2001-09-25,0.0
2001-09-26,-25.0
2001-09-28,33.3333
2001-10-02,0.0
2001-10-04,-50.0
2001-10-05,10.0
2001-10-11,-31.8182
2001-10-12,33.3333
2001-10-16,-25.0
2001-10-24,33.3333
2001-10-25,-70.0
2001-10-26,-62.5
2001-10-29,344.4444
2001-10-30,-60.0
2001-11-01,150.0
2001-11-05,-40.0
2001-11-06,0.0
2001-11-09,50.0
2001-11-12,-11.1111
2001-11-13,-25.0
2001-11-14,66.6667
2001-11-16,-20.0
2001-11-19,0.0
2001-11-26,0.0
2001-11-27,0.0
2001-11-28,-50.0
2001-11-29,50.0
2001-11-30,-33.3333
2001-12-03,150.0
2001-12-04,20.0
2001-12-05,-50.0
2001-12-07,100.0
2001-12-10,-16.6667
2001-12-12,20.0
2001-12-13,0.0
2001-12-14,0.0
2001-12-17,-33.3333
2001-12-18,0.0
2001-12-20,-25.0
