ticker,MTRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-03-19,0.0
2003-04-03,20.0
2003-04-08,-16.6667
2003-04-24,-80.0
2003-04-28,650.0
2003-05-09,0.0
2003-05-12,0.0
2003-05-13,0.0
2003-05-19,6.6667
2003-05-20,12.5
2003-05-21,-5.5556
2003-05-23,-5.8824
2003-05-27,-25.0
2003-05-28,16.6667
2003-05-29,0.0
2003-05-30,3.5714
2003-06-02,3.4483
2003-06-03,0.0
2003-06-04,-10.0
2003-06-05,3.7037
2003-06-06,-3.5714
2003-06-10,11.1111
2003-06-12,-6.6667
2003-06-13,-7.1429
2003-06-16,-3.8462
2003-06-17,0.0
2003-06-18,0.0
2003-06-19,-4.0
2003-06-20,2.5
2003-06-23,-18.6992
2003-06-24,5.0
2003-06-26,-13.8095
2003-07-08,10.4972
2003-07-14,-18.0
2003-07-17,28.0488
2003-07-18,-4.7619
2003-07-24,0.0
2003-07-25,0.0
2003-07-28,-5.0
2003-07-29,5.2632
2003-07-30,0.0
2003-07-31,-13.0
2003-08-01,60.9195
2003-08-04,28.5714
2003-08-05,-19.4444
2003-08-06,-17.2414
2003-08-07,4.1667
2003-08-08,-8.0
2003-08-11,0.8696
2003-08-12,-13.7931
2003-08-13,-20.0
2003-08-14,12.5
2003-08-15,0.0
2003-08-18,20.0
2003-08-19,-7.4074
2003-08-20,-10.0
2003-08-21,4.4444
2003-08-22,-5.3191
2003-08-25,-4.4944
2003-08-26,-9.4118
2003-08-27,7.1429
2003-08-28,-3.0303
2003-08-29,6.25
2003-09-02,-11.7647
2003-09-03,4.0
2003-09-04,1.2821
2003-09-05,1.2658
2003-09-08,6.25
2003-09-09,-15.2941
2003-09-10,-2.7778
2003-09-11,14.2857
2003-09-12,0.0
2003-09-15,-2.5
2003-09-16,2.5641
2003-09-17,10.0
2003-09-18,36.3636
2003-09-19,-8.3333
2003-09-22,2.7273
2003-09-23,6.1947
2003-09-24,3.4375
2003-09-25,-11.3797
2003-09-26,-4.5455
2003-09-29,-18.0952
2003-09-30,27.907
2003-10-01,9.0909
2003-10-02,0.0
2003-10-03,-4.1667
2003-10-06,0.0
2003-10-07,4.3478
2003-10-08,4.1667
2003-10-09,4.0
2003-10-10,0.0
2003-10-13,46.1538
2003-10-14,23.6842
2003-10-15,-12.766
2003-10-16,-17.0732
2003-10-17,14.7059
2003-10-20,10.2564
2003-10-21,-4.6512
2003-10-22,2.439
2003-10-23,-7.1429
2003-10-24,0.0
2003-10-27,2.5641
