ticker,ECGI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-07,300.0
2007-12-10,-12.5
2007-12-11,11.4286
2007-12-12,-10.2564
2007-12-14,-85.7143
2007-12-17,100.0
2007-12-18,180.0
2007-12-20,-82.1429
2007-12-21,40.0
2007-12-26,0.0
2007-12-27,-10.0
2007-12-28,-11.1111
2007-12-31,7.1429
2008-01-02,0.0
2008-01-07,150.0
2008-01-08,-33.3333
2008-01-09,0.0
2008-01-10,90.0
2008-01-11,-42.1053
2008-01-15,-9.0909
2008-01-16,0.0
2008-01-17,50.0
2008-01-22,-63.3333
2008-01-24,136.3636
2008-01-25,-15.3846
2008-01-29,-36.3636
2008-01-30,42.8571
2008-01-31,-10.0
2008-02-01,5.5556
2008-02-04,-5.2632
2008-02-05,0.0
2008-02-06,0.0
2008-02-07,0.0
2008-02-08,0.0
2008-02-12,-16.6667
2008-02-15,-13.3333
2008-02-19,3.0769
2008-02-20,41.791
2008-02-21,-5.2632
2008-02-22,-27.7778
2008-02-26,0.0
2008-02-28,-7.6923
2008-02-29,0.0
2008-03-12,8.3333
2008-03-13,-7.6923
2008-03-19,0.0
2008-03-20,0.0
2008-03-24,0.0
2008-03-25,0.0
2008-03-27,0.0
2008-03-28,0.0
2008-04-01,16.6667
2008-04-03,55.0
2008-04-04,-44.7005
2008-04-07,0.0
2008-04-09,0.0
2008-04-11,0.0
2008-04-15,-8.3333
2008-04-17,0.0
2008-04-23,-9.0909
2008-04-24,0.0
2008-04-25,20.0
2008-04-28,0.0
2008-05-02,-33.3333
2008-05-05,50.0
2008-05-06,1.6667
2008-05-13,-1.6393
2008-05-16,0.0
2008-05-19,0.0
2008-05-22,0.0
2008-05-30,-25.0
2008-06-03,11.1111
2008-06-04,0.0
2008-06-05,0.0
2008-06-17,-40.0
2008-06-23,0.0
2008-06-26,0.0
2008-06-27,0.0
2008-06-30,0.0
2008-07-01,33.3333
2008-07-02,0.0
2008-07-03,-25.0
2008-07-14,0.0
2008-07-15,0.0
2008-07-16,-33.3333
2008-07-30,50.0
2008-07-31,-26.6667
2008-08-01,0.0
2008-08-12,0.0
2008-08-14,0.0
2008-08-20,-9.0909
2008-08-22,50.0
2008-08-25,-30.0
2008-08-27,0.0
2008-09-02,0.0
2008-09-24,42.8571
2008-09-25,33.3333
2008-09-30,100.0
2008-10-01,-25.0
2008-10-06,-16.6667
2008-10-07,-20.0
2008-10-10,-25.0
2008-10-14,-66.6667
2008-10-15,0.0
2008-10-17,0.0
