ticker,USEI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,28.5714
2000-01-04,-16.6667
2000-01-06,6.6667
2000-01-10,0.0
2000-01-11,-6.25
2000-01-12,-6.6667
2000-01-20,7.1429
2000-01-21,-6.6667
2000-01-24,7.1429
2000-01-25,6.6667
2000-01-26,3.125
2000-01-27,3.0303
2000-01-28,17.647100000000002
2000-01-31,-5.0
2000-02-01,10.526299999999999
2000-02-02,0.0
2000-02-04,0.0
2000-02-07,-4.7619
2000-02-08,0.0
2000-02-09,15.0
2000-02-10,0.0
2000-02-11,4.3478
2000-02-14,4.1667
2000-02-15,0.0
2000-02-16,12.0
2000-02-17,35.7143
2000-02-18,13.1579
2000-02-22,-6.9767
2000-02-23,0.0
2000-02-24,0.0
2000-02-25,20.0
2000-02-28,8.3333
2000-02-29,15.3846
2000-03-01,-30.0
2000-03-02,6.6667
2000-03-03,2.6786
2000-03-06,0.0
2000-03-07,0.0
2000-03-08,-13.0435
2000-03-09,15.0
2000-03-10,-10.8696
2000-03-13,-21.9512
2000-03-15,-6.25
2000-03-16,-46.1333
2000-03-17,73.2673
2000-03-20,-42.2857
2000-03-21,0.0
2000-03-23,0.0
2000-03-24,60.8911
2000-03-27,0.0
2000-04-05,-30.7692
2000-04-14,122.2222
2000-04-20,0.0
2000-04-24,-10.0
2000-04-26,-44.4444
2000-05-04,-60.0
2000-05-08,100.0
2000-05-09,25.0
2000-05-11,-10.0
2000-05-16,-11.1111
2000-05-19,12.5
2000-06-01,-55.5556
2000-06-09,0.0
2000-06-12,50.0
2000-06-13,-16.6667
2000-06-14,0.0
2000-06-15,0.0
2000-06-21,0.0
2000-07-11,0.0
2000-07-13,-60.0
2000-07-19,0.0
2000-07-25,200.0
2000-08-08,-60.0
2000-10-11,0.0
2000-10-16,-16.6667
2000-10-17,-44.0
2000-10-19,78.5714
2000-11-13,-40.0
2000-11-14,0.0
2000-11-27,0.0
2000-11-28,26.6667
2000-11-29,-34.2105
2000-11-30,60.0
2000-12-01,-40.0
2000-12-11,66.6667
2000-12-13,110.0
2000-12-20,-40.4762
2000-12-26,-20.0
2000-12-27,0.0
2000-12-28,160.0
2001-01-09,11.538499999999999
2001-01-10,-5.1724
2001-01-16,2.2727
2001-01-18,-9.3333
2001-01-19,0.0
2001-01-24,-26.4706
2001-01-25,0.0
2001-02-01,-20.0
2001-02-09,50.0
2001-02-12,-33.3333
2001-02-26,25.0
2001-02-27,6.6667
2001-03-22,-45.0
2001-03-27,36.3636
